calibration_date,history_cutoff_date,fixed_k,effective_start_date,effective_end_date,risk_alpha,validation_days,mean_validation_cost_yuan,standard_error_yuan,emergency_purchase_kwh,mean_solve_seconds,within_time_limit,selected,fallback_reason
2025-04-09,2025-04-08,8,2025-04-09,2025-04-22,0.6,14,29081.67967317619,2853.3192273936133,12945.374713042456,0.07539984806914747,True,True,
2025-04-09,2025-04-08,8,2025-04-09,2025-04-22,0.7,14,29179.56161536485,2825.8898422874067,12912.695717713286,0.07815792864130344,True,False,
2025-04-09,2025-04-08,8,2025-04-09,2025-04-22,0.8,14,29798.70482078634,2705.1703081410365,12985.386016014492,0.07778483656667438,True,False,
2025-04-09,2025-04-08,8,2025-04-09,2025-04-22,0.9,14,30139.365021707945,2592.11100520199,12337.988993966486,0.07915515172602941,True,False,
2025-04-23,2025-04-22,8,2025-04-23,2025-05-06,0.6,14,26746.377247610388,2636.961377069538,11925.805239015135,0.07753430042690265,True,True,
2025-04-23,2025-04-22,8,2025-04-23,2025-05-06,0.7,14,26971.84386729279,2590.1752017780595,11742.887497361602,0.07769591678516008,True,False,
2025-04-23,2025-04-22,8,2025-04-23,2025-05-06,0.8,14,27326.06598443922,2488.3861475386157,11130.847518158273,0.07616675592933982,True,False,
2025-04-23,2025-04-22,8,2025-04-23,2025-05-06,0.9,14,27885.27518289458,2288.3966740898027,6493.48504164721,0.07625575035802155,True,False,
2025-05-07,2025-05-06,8,2025-05-07,2025-05-20,0.6,14,31138.302898353435,2879.882145432126,27715.55936400757,0.07622698799449219,True,True,
2025-05-07,2025-05-06,8,2025-05-07,2025-05-20,0.7,14,31559.656484064726,2852.176296826086,27882.793097935013,0.07999131264555867,True,False,
2025-05-07,2025-05-06,8,2025-05-07,2025-05-20,0.8,14,32086.600452400453,2810.19454308211,26716.64537024736,0.07468985992766518,True,False,
2025-05-07,2025-05-06,8,2025-05-07,2025-05-20,0.9,14,32851.85134105362,2735.691897218389,26104.325073649918,0.07178579178538971,True,False,
2025-05-21,2025-05-20,8,2025-05-21,2025-06-03,0.6,14,30511.725581887604,2671.9571848131754,17713.86581785111,0.07791152999769631,True,True,
2025-05-21,2025-05-20,8,2025-05-21,2025-06-03,0.7,14,30698.229981145025,2631.189811765573,16994.965934904318,0.07978800270939246,True,False,
2025-05-21,2025-05-20,8,2025-05-21,2025-06-03,0.8,14,31042.352725747558,2408.0950331197746,12732.991877183149,0.07408145550081306,True,False,
2025-05-21,2025-05-20,8,2025-05-21,2025-06-03,0.9,14,32449.592191029842,2282.1009788278507,13060.145880449027,0.07682524692791048,True,False,
2025-06-04,2025-06-03,8,2025-06-04,2025-06-17,0.6,14,35368.25977900977,5242.461753788361,37372.208385972895,0.07651221443250376,True,True,
2025-06-04,2025-06-03,8,2025-06-04,2025-06-17,0.7,14,35626.33446398895,5166.26443807237,37036.20876431507,0.07298619635860502,True,False,
2025-06-04,2025-06-03,8,2025-06-04,2025-06-17,0.8,14,36176.33140968916,5024.865376461228,35507.396488158076,0.07294111292243802,True,False,
2025-06-04,2025-06-03,8,2025-06-04,2025-06-17,0.9,14,37806.588998270694,4702.995192334486,33697.17611778938,0.06934718149672595,True,False,
2025-06-18,2025-06-17,8,2025-06-18,2025-07-01,0.6,14,44821.47924820368,3561.221759542255,30006.232359283942,0.07586196728308485,True,True,
2025-06-18,2025-06-17,8,2025-06-18,2025-07-01,0.7,14,45342.947300095155,3417.185003650445,29781.785561778244,0.0712287559311205,True,False,
2025-06-18,2025-06-17,8,2025-06-18,2025-07-01,0.8,14,46013.10595076772,3237.9089159188893,29276.21684917866,0.06975914278882556,True,False,
2025-06-18,2025-06-17,8,2025-06-18,2025-07-01,0.9,14,46619.365493385456,3107.09697076538,28780.276365152105,0.0711971189302858,True,False,
2025-07-02,2025-07-01,8,2025-07-02,2025-07-15,0.6,14,42911.60308711954,3540.289401133193,2709.684696053987,0.06973899993213958,True,True,
2025-07-02,2025-07-01,8,2025-07-02,2025-07-15,0.7,14,43530.223140992566,3328.9429724140114,2412.6804250833165,0.0686184375018846,True,False,
2025-07-02,2025-07-01,8,2025-07-02,2025-07-15,0.8,14,44320.32997553203,3076.5987122504393,1809.60095009339,0.07409417263988871,True,False,
2025-07-02,2025-07-01,8,2025-07-02,2025-07-15,0.9,14,44958.00209540185,2919.2904889347124,669.098099817365,0.0721563420707493,True,False,
2025-07-16,2025-07-15,8,2025-07-16,2025-07-29,0.6,14,47205.90648308881,3439.4481010023865,36699.172738423964,0.08109744628226119,True,True,
2025-07-16,2025-07-15,8,2025-07-16,2025-07-29,0.7,14,47392.7952019092,3361.6098657833218,35747.84561522707,0.0824956846398501,True,False,
2025-07-16,2025-07-15,8,2025-07-16,2025-07-29,0.8,14,47928.65199644755,3260.933840590015,34887.565825890684,0.08168501214406985,True,False,
2025-07-16,2025-07-15,8,2025-07-16,2025-07-29,0.9,14,49015.183954919994,3081.7017695499662,33233.21166407906,0.0894694555733752,True,False,
2025-07-30,2025-07-29,8,2025-07-30,2025-08-12,0.6,14,43205.59279957797,2814.478816924886,412.8012535241971,0.07607582757607036,True,True,
2025-07-30,2025-07-29,8,2025-07-30,2025-08-12,0.7,14,43663.45840553415,2749.3799571308136,412.8012535244005,0.07848395834610399,True,False,
