date,period_index,time_label,q_or_g0_kwh,g_final_kwh,x_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,actual_load_kwh,actual_pv_kwh,actual_price,price_forecast_used,last_update_time,balance_residual_kwh,normal_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan
2025-07-30,27,04:40,704.2953749999998,704.2953749999998,704.2953749999998,0.0,0.0,0.46220833333347855,0.0,5260.402726108938,5259.915515746657,704.7575833333333,0.0,0.5463,0.5463,00:00,0.0,384.7565633624999,0.0,0.0
2025-07-30,28,04:50,1527.160908455635,1527.160908455635,1517.9701833333334,0.0,833.3333333333333,0.0,0.41688333333333333,5259.915515746657,6050.484930788752,684.63685,0.41688333333333333,0.5187,0.5187,00:00,1.1368683772161603e-13,792.1383632159379,0.0,0.0
2025-07-30,29,05:00,1525.02875,1525.02875,1491.5199692900512,0.0,828.9849692900513,0.0,0.0,6050.484930788752,6836.929125489141,662.535,0.0,0.425,0.425,00:00,0.0,648.13721875,0.0,0.0
2025-07-30,30,05:10,1508.9656986111108,1508.9656986111108,1508.9656986111108,3.9712512691578468,833.333333213602,0.0,0.0,6836.929125489141,7627.49854041765,679.6036166666667,0.0,0.4588,0.4588,00:00,0.0,692.3134625227776,0.0,9.1100504114481
2025-07-30,31,05:20,1486.6604055555554,1486.6604055555554,1486.6604055555554,28.83779437806868,833.3333332669573,0.0,0.0,7627.49854041765,8418.067955396775,695.9537833333334,13.788916666666667,0.4992,0.4992,00:00,1.1368683772161603e-13,742.1408744533333,0.0,71.97913476765942
2025-07-30,32,05:30,1440.2724083333333,1440.2724083333333,1440.2724083333333,30.93092498883516,833.3333333221685,0.0,0.0,8418.067955396775,9208.637370428278,684.3449999999999,46.475,0.4489,0.4489,00:00,-1.1368683772161603e-13,646.5382841008334,0.0,69.42446113744052
2025-07-30,33,05:40,1386.2338652777778,1386.2338652777778,1386.2338652777778,27.448184722222095,833.3333333333333,0.0,0.0,9208.637370428278,9999.206785470373,661.1693833333333,80.82066666666665,0.3727,0.3727,00:00,1.1368683772161603e-13,516.6493615890278,0.0,51.149692229860875
2025-07-30,34,05:50,605.0496888888888,605.0496888888888,563.4822335306052,0.0,1.972718863690315e-07,0.0,0.0,9999.206785470373,9999.206785657521,681.6573833333333,118.17514999999999,0.5423,0.5423,00:00,1.555594650298296e-14,328.1184462844444,0.0,0.0
2025-07-30,35,06:00,0.0,0.0,0.0,0.0,0.0,609.4833333333333,0.0,9999.206785657521,9356.754942575868,767.0583333333334,157.575,0.8551,0.8551,00:00,0.0,0.0,0.0,0.0
2025-07-30,36,06:10,0.0,0.0,0.0,0.0,0.0,679.9491,0.0,9356.754942575868,8640.025659582003,874.0237666666667,194.07466666666667,0.9202,0.9202,06:00,0.0,0.0,0.0,0.0
