calibration_date,history_cutoff_date,effective_start_date,effective_end_date,forecast_mode,risk_alpha,validation_days,validation_start_date,validation_end_date,window_start_soc_kwh,candidate_soc_end_kwh,candidate_soc_path_kwh,mean_actual_cost_yuan,standard_error_yuan,mean_planned_cost_yuan,mean_emergency_cost_yuan,mean_unused_plan_kwh,mean_solve_seconds,used_full_day_actual_lp,future_actuals_in_optimizer,selection_criterion,one_se_threshold_yuan,selected,fallback_reason
2025-01-01,attachment1_fallback,2025-01-01,2025-01-14,m1,,0,none,none,6000.0,,,,,,,,,False,False,mean_actual_cost_sum_pq_plus_5pe,,True,insufficient_prior_14_day_window
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m3,0.6,14,2025-01-15,2025-01-28,1200.0,1200.0000000493028,1200.000000;1201.497683;1200.000000;1200.000000;1200.000000;1200.000000;1226.362173;1316.027982;1212.509108;1274.767196;1200.000000;1209.905893;1200.000000;1200.000000;1200.000000,53164.05634291606,4591.316614158871,47812.24658874079,5351.809754175274,2241.2308733921423,4.160526793279652,False,False,mean_actual_cost_sum_pq_plus_5pe,57755.372957074935,True,
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m3,0.7,14,2025-01-15,2025-01-28,1200.0,1200.0000000493028,1200.000000;1201.497683;1200.000000;1200.000000;1200.000000;1200.000000;1226.362173;1316.027982;1212.509108;1274.767196;1200.000000;1209.905893;1200.000000;1200.000000;1200.000000,53750.93156655346,4387.167177420054,48407.97223227462,5342.959334278841,2467.006743659732,4.164645017503062,False,False,mean_actual_cost_sum_pq_plus_5pe,57755.372957074935,False,
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m3,0.8,14,2025-01-15,2025-01-28,1200.0,1200.0000000493028,1200.000000;1201.497683;1200.000000;1200.000000;1200.000000;1200.000000;1226.362173;1316.027982;1212.509108;1274.767196;1200.000000;1209.905893;1200.000000;1200.000000;1200.000000,54827.3636460915,3942.0889290598693,49244.46964674322,5582.893999348285,3118.5933518314255,4.14306345235257,False,False,mean_actual_cost_sum_pq_plus_5pe,57755.372957074935,False,
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m3,0.9,14,2025-01-15,2025-01-28,1200.0,1200.0000000493028,1200.000000;1201.497683;1200.000000;1200.000000;1200.000000;1200.000000;1226.362173;1316.027982;1212.509108;1274.767196;1200.000000;1209.905893;1200.000000;1200.000000;1200.000000,55296.551488958874,3862.366901380089,49888.17346921891,5408.378019739959,3308.3939675412157,4.122404411730323,False,False,mean_actual_cost_sum_pq_plus_5pe,57755.372957074935,False,
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m1,0.6,14,2025-01-29,2025-02-11,1200.0000000493028,1246.706093760256,1200.000000;1200.012321;1208.069130;1233.488680;1239.699171;1234.439342;1223.305312;1208.253504;1205.933674;1216.274331;1209.638697;1246.609075;1237.754825;1236.740103;1246.706094,47086.46172225835,4219.29760200262,44831.146099157624,2255.3156231007397,5094.145174747683,8.705832200968871,False,False,mean_actual_cost_sum_pq_plus_5pe,51105.65422499592,False,
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m1,0.7,14,2025-01-29,2025-02-11,1200.0000000493028,1246.706093760256,1200.000000;1200.012321;1208.069130;1233.488680;1239.699171;1234.439342;1223.305312;1208.253504;1205.933674;1216.274331;1209.638697;1246.609075;1237.754825;1236.740103;1246.706094,47186.89883588948,4197.846941720251,44948.55633812961,2238.342497759871,5045.181497187624,8.96438576322232,False,False,mean_actual_cost_sum_pq_plus_5pe,51105.65422499592,False,
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m1,0.8,14,2025-01-29,2025-02-11,1200.0000000493028,1246.706093760256,1200.000000;1200.012321;1208.069130;1233.488680;1239.699171;1234.439342;1223.305312;1208.253504;1205.933674;1216.274331;1209.638697;1246.609075;1237.754825;1236.740103;1246.706094,47321.948522869985,4167.388823112955,45053.101668844334,2268.8468540256563,5005.926037582116,8.990656476334802,False,False,mean_actual_cost_sum_pq_plus_5pe,51105.65422499592,False,
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m1,0.9,14,2025-01-29,2025-02-11,1200.0000000493028,1246.706093760256,1200.000000;1200.012321;1208.069130;1233.488680;1239.699171;1234.439342;1223.305312;1208.253504;1205.933674;1216.274331;1209.638697;1246.609075;1237.754825;1236.740103;1246.706094,48025.531973412966,3923.8615512525926,45981.262433271775,2044.2695401412038,5415.329893413822,8.9829643391422,False,False,mean_actual_cost_sum_pq_plus_5pe,51105.65422499592,False,
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m2,0.6,14,2025-01-29,2025-02-11,1200.0000000493028,1221.2134038276238,1200.000000;1216.490509;1208.063673;1231.056660;1242.390178;1245.526181;1229.534360;1224.115173;1211.452452;1212.766072;1205.974919;1211.775391;1205.198611;1241.194775;1221.213404,46594.99929438077,4242.940104063347,44931.69612695133,1663.3031674294423,5029.613250513432,8.715883585994431,False,False,mean_actual_cost_sum_pq_plus_5pe,51105.65422499592,False,
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m2,0.7,14,2025-01-29,2025-02-11,1200.0000000493028,1221.2134038276238,1200.000000;1216.490509;1208.063673;1231.056660;1242.390178;1245.526181;1229.534360;1224.115173;1211.452452;1212.766072;1205.974919;1211.775391;1205.198611;1241.194775;1221.213404,46671.82446942524,4228.70038771669,45021.07342883489,1650.7510405903483,4984.600068928392,8.826490674043141,False,False,mean_actual_cost_sum_pq_plus_5pe,51105.65422499592,False,
