calibration_date,history_cutoff_date,effective_start_date,effective_end_date,forecast_mode,risk_alpha,load_mae_kwh,pv_mae_kwh,net_load_mae_kwh,quantile_coverage,mean_planned_cost_yuan,mean_emergency_cost_yuan,mean_unused_plan_kwh,mean_actual_cost_yuan,selected,selection_role
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m3,0.8,81.67516979166665,21.406632829388702,96.8758255558705,0.7838096509971509,50863.99722650724,32377.00094248434,6506.443797089728,83240.99816899157,False,diagnostic_only
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m3,0.9,81.67516979166665,21.406632829388702,96.8758255558705,0.7838096509971509,53193.89356455282,30075.33549660807,7670.005378150275,83269.22906116089,False,diagnostic_only
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m1,0.6,19.784075927303792,15.15441327947846,29.233846492150096,0.5531374007936507,47872.49395282055,3584.727871224614,2078.6596132108484,51457.22182404516,False,diagnostic_only
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m1,0.7,19.784075927303792,15.15441327947846,29.233846492150096,0.5531374007936507,48244.49471684527,3412.484043288657,2091.9638532782687,51656.97876013393,False,diagnostic_only
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m1,0.8,19.784075927303792,15.15441327947846,29.233846492150096,0.5531374007936507,49017.05963923996,3498.796980461952,2574.8442010907143,52515.85661970192,False,diagnostic_only
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m1,0.9,19.784075927303792,15.15441327947846,29.233846492150096,0.5531374007936507,49904.39043380554,3359.7406546863754,2874.412357793681,53264.13108849193,False,diagnostic_only
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m2,0.6,20.15480814732143,15.545080894510582,30.017362537202384,0.5660548941798942,47934.95805204903,3277.9942575402133,2036.7473428690066,51212.952309589244,False,diagnostic_only
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m2,0.7,20.15480814732143,15.545080894510582,30.017362537202384,0.5660548941798942,48306.397448123535,3061.38057646753,2070.3942457566004,51367.77802459105,False,diagnostic_only
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m2,0.8,20.15480814732143,15.545080894510582,30.017362537202384,0.5660548941798942,49606.32708875038,3499.2750053544537,2782.185293563233,53105.60209410485,False,diagnostic_only
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m2,0.9,20.15480814732143,15.545080894510582,30.017362537202384,0.5660548941798942,50165.79804269104,3321.567807910313,2963.0195333854535,53487.36585060135,False,diagnostic_only
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m3,0.6,20.23949676339285,15.216171141581627,29.80201414753401,0.5595203648589065,47728.06332357617,4427.529806351294,2035.739746955211,52155.59312992747,True,diagnostic_only
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m3,0.7,20.23949676339285,15.216171141581627,29.80201414753401,0.5595203648589065,48320.54644718619,4578.115975211224,2262.8942030731187,52898.66242239743,False,diagnostic_only
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m3,0.8,20.23949676339285,15.216171141581627,29.80201414753401,0.5595203648589065,49159.50083822596,4634.324003034641,2814.5649115979204,53793.824841260604,False,diagnostic_only
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m3,0.9,20.23949676339285,15.216171141581627,29.80201414753401,0.5595203648589065,49802.921867965706,4397.144142811536,2967.94359565193,54200.066010777235,False,diagnostic_only
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m1,0.6,29.16599435350529,18.557855863803848,41.06094859871031,0.7004967206790124,44591.34166737618,1598.4477926874122,4582.721478509481,46189.7894600636,False,diagnostic_only
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m1,0.7,29.16599435350529,18.557855863803848,41.06094859871031,0.7004967206790124,44710.02827298144,1648.2834931534012,4584.730969007384,46358.311766134844,False,diagnostic_only
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m1,0.8,29.16599435350529,18.557855863803848,41.06094859871031,0.7004967206790124,44810.77085012267,1633.3395971131088,4527.388086909129,46444.11044723577,False,diagnostic_only
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m1,0.9,29.16599435350529,18.557855863803848,41.06094859871031,0.7004967206790124,45732.786593324694,1456.4169613330844,4879.8342212086345,47189.20355465779,False,diagnostic_only
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m2,0.6,29.910592170965607,19.62836097883598,42.699567204034395,0.6863735945767196,44686.16966705647,1076.3344241611483,4578.475836245472,45762.50409121763,False,diagnostic_only
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m2,0.7,29.910592170965607,19.62836097883598,42.699567204034395,0.6863735945767196,44775.84045687093,1142.2772011282686,4505.682122028289,45918.117657999224,False,diagnostic_only
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m2,0.8,29.910592170965607,19.62836097883598,42.699567204034395,0.6863735945767196,44894.70815731819,1164.3522891462003,4529.087955097603,46059.06044646439,False,diagnostic_only
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m2,0.9,29.910592170965607,19.62836097883598,42.699567204034395,0.6863735945767196,45840.141139064726,923.0014355678167,4813.161383489363,46763.14257463255,False,diagnostic_only
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m3,0.6,27.591004074900805,17.691899291973733,38.60219684819068,0.677813602292769,44194.692750576476,1866.4721961235555,4103.161064278544,46061.16494670003,False,diagnostic_only
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m3,0.7,27.591004074900805,17.691899291973733,38.60219684819068,0.677813602292769,44335.95118906914,1914.9355428435758,4074.693695064539,46250.886731912724,True,diagnostic_only
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m3,0.8,27.591004074900805,17.691899291973733,38.60219684819068,0.677813602292769,44514.57578634626,1928.0382079316084,4092.0227332357,46442.61399427786,False,diagnostic_only
2025-02-12,2025-02-11,2025-02-12,2025-02-25,m3,0.9,27.591004074900805,17.691899291973733,38.60219684819068,0.677813602292769,45471.765980771495,1602.6268798025565,4453.597913173397,47074.39286057405,False,diagnostic_only
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m1,0.6,23.568773131613757,20.36694568452381,39.67828054020219,0.5989411100088182,39768.838054136075,3338.3761103055663,4696.121457711342,43107.21416444163,False,diagnostic_only
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m1,0.7,23.568773131613757,20.36694568452381,39.67828054020219,0.5989411100088182,39932.48862699693,3310.8909045569926,4759.223940915547,43243.379531553925,False,diagnostic_only
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m1,0.8,23.568773131613757,20.36694568452381,39.67828054020219,0.5989411100088182,40054.43568088744,3300.073082233294,4820.386205840392,43354.508763120735,False,diagnostic_only
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m1,0.9,23.568773131613757,20.36694568452381,39.67828054020219,0.5989411100088182,40222.52140151495,3324.694579839648,4929.084807927073,43547.215981354595,False,diagnostic_only
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m2,0.6,23.940824570105825,20.720024884259256,40.054463053902104,0.5227589010141093,39650.7802862192,3050.6755639491166,4458.21353215693,42701.45585016831,False,diagnostic_only
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m2,0.7,23.940824570105825,20.720024884259256,40.054463053902104,0.5227589010141093,39733.94921694081,3032.725913979672,4519.403554482537,42766.67513092049,False,diagnostic_only
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m2,0.8,23.940824570105825,20.720024884259256,40.054463053902104,0.5227589010141093,39912.84312865056,3004.810413564835,4591.294970020623,42917.6535422154,False,diagnostic_only
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m2,0.9,23.940824570105825,20.720024884259256,40.054463053902104,0.5227589010141093,40207.31096948085,2976.6244989678503,4782.487611302635,43183.9354684487,False,diagnostic_only
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m3,0.6,20.70966950231482,19.366622249681125,35.3263749847057,0.525531856261023,39063.45685215638,4706.550203337671,4074.781366059399,43770.00705549405,True,diagnostic_only
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m3,0.7,20.70966950231482,19.366622249681125,35.3263749847057,0.525531856261023,39218.98054751983,4675.730061796266,4166.649518052434,43894.710609316106,False,diagnostic_only
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m3,0.8,20.70966950231482,19.366622249681125,35.3263749847057,0.525531856261023,39399.826599861684,4531.606030323262,4219.059286848301,43931.43263018494,False,diagnostic_only
2025-02-26,2025-02-25,2025-02-26,2025-03-11,m3,0.9,20.70966950231482,19.366622249681125,35.3263749847057,0.525531856261023,39587.76976755419,4489.089386884331,4332.517441526942,44076.85915443852,False,diagnostic_only
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m1,0.6,27.87201733217592,25.497047869425547,43.57693959809618,0.459084270282187,36221.058032219116,6481.390177634398,4002.177083696874,42702.448209853515,False,diagnostic_only
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m1,0.7,27.87201733217592,25.497047869425547,43.57693959809618,0.459084270282187,36289.010213134505,6477.5800355327165,4042.3951174728027,42766.59024866721,False,diagnostic_only
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m1,0.8,27.87201733217592,25.497047869425547,43.57693959809618,0.459084270282187,36533.68877441239,6441.227338359714,4153.278861844002,42974.91611277209,False,diagnostic_only
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m1,0.9,27.87201733217592,25.497047869425547,43.57693959809618,0.459084270282187,36787.51319702171,6414.1718631638005,4288.544071960735,43201.68506018552,False,diagnostic_only
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m2,0.6,28.5926224578373,26.7266173859127,44.51459675512565,0.4714196152998236,36114.809064963345,6812.762165696981,3881.189596774005,42927.57123066032,False,diagnostic_only
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m2,0.7,28.5926224578373,26.7266173859127,44.51459675512565,0.4714196152998236,36238.53177372729,6791.078962278679,3968.3200109203867,43029.610736005976,False,diagnostic_only
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m2,0.8,28.5926224578373,26.7266173859127,44.51459675512565,0.4714196152998236,36541.357778916026,6689.308948945145,4108.994171207461,43230.66672786117,False,diagnostic_only
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m2,0.9,28.5926224578373,26.7266173859127,44.51459675512565,0.4714196152998236,36861.491054356426,6654.501504177955,4245.831354898602,43515.99255853438,False,diagnostic_only
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m3,0.6,26.378652156911386,24.323522511869328,41.263795457589296,0.480403301366843,36012.275707841385,6766.564845797029,3828.819452759592,42778.840553638416,True,diagnostic_only
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m3,0.7,26.378652156911386,24.323522511869328,41.263795457589296,0.480403301366843,36108.751665593205,6794.016149554896,3910.282245886068,42902.7678151481,False,diagnostic_only
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m3,0.8,26.378652156911386,24.323522511869328,41.263795457589296,0.480403301366843,36311.873947713764,6663.365479741625,4003.60107993176,42975.2394274554,False,diagnostic_only
2025-03-12,2025-03-11,2025-03-12,2025-03-25,m3,0.9,26.378652156911386,24.323522511869328,41.263795457589296,0.480403301366843,36684.41192279939,6664.113467644595,4198.698067403472,43348.52539044398,False,diagnostic_only
2025-03-26,2025-03-25,2025-03-26,2025-04-08,m1,0.6,21.32452628348214,26.71464342403628,41.29853166837916,0.4697213955026455,32748.805684860843,5497.929920120104,3257.6279948139613,38246.735604980946,False,diagnostic_only
2025-03-26,2025-03-25,2025-03-26,2025-04-08,m1,0.7,21.32452628348214,26.71464342403628,41.29853166837916,0.4697213955026455,32940.4376172205,5375.750032720156,3403.9402809268167,38316.18764994065,False,diagnostic_only
2025-03-26,2025-03-25,2025-03-26,2025-04-08,m1,0.8,21.32452628348214,26.71464342403628,41.29853166837916,0.4697213955026455,33187.43243342543,5240.156702679427,3497.3182244611166,38427.58913610485,False,diagnostic_only
2025-03-26,2025-03-25,2025-03-26,2025-04-08,m1,0.9,21.32452628348214,26.71464342403628,41.29853166837916,0.4697213955026455,33667.39982769187,5161.237409809919,3817.931339755923,38828.63723750179,False,diagnostic_only
2025-03-26,2025-03-25,2025-03-26,2025-04-08,m2,0.6,21.93944716435185,25.882239790013223,40.711771875000004,0.46330054012345673,32656.28718145002,5753.315858097167,3170.252328865921,38409.60303954718,False,diagnostic_only
2025-03-26,2025-03-25,2025-03-26,2025-04-08,m2,0.7,21.93944716435185,25.882239790013223,40.711771875000004,0.46330054012345673,32869.66082918364,5665.109016523545,3246.0731690552807,38534.769845707175,False,diagnostic_only
2025-03-26,2025-03-25,2025-03-26,2025-04-08,m2,0.8,21.93944716435185,25.882239790013223,40.711771875000004,0.46330054012345673,33201.64922045,5613.947855474261,3509.0659355347775,38815.59707592426,False,diagnostic_only
2025-03-26,2025-03-25,2025-03-26,2025-04-08,m2,0.9,21.93944716435185,25.882239790013223,40.711771875000004,0.46330054012345673,33710.39942497238,5518.802829232976,3902.8492914235057,39229.20225420536,False,diagnostic_only
2025-03-26,2025-03-25,2025-03-26,2025-04-08,m3,0.6,19.021372361111112,26.026612481989325,38.35682596165203,0.4720878802910053,32231.12480207812,6163.8457247426495,2774.9213138427035,38394.97052682077,True,diagnostic_only
2025-03-26,2025-03-25,2025-03-26,2025-04-08,m3,0.7,19.021372361111112,26.026612481989325,38.35682596165203,0.4720878802910053,32330.647978607758,5990.222054753708,2823.341232859802,38320.87003336147,False,diagnostic_only
2025-03-26,2025-03-25,2025-03-26,2025-04-08,m3,0.8,19.021372361111112,26.026612481989325,38.35682596165203,0.4720878802910053,32641.032780566235,5866.667854004479,2993.6857551228272,38507.70063457073,False,diagnostic_only
