date,q_max_abs_kwh,q_sum_abs_kwh,planned_cost_abs_yuan,charge_block_abs_kwh,soc_start_abs_kwh,soc_end_abs_kwh,soc_vs_dispatch_abs_kwh,emergency_abs_kwh,emergency_vs_ledger_abs_kwh,emergency_recon_abs_kwh,max_balance_residual_kwh,max_x_minus_q_kwh,max_simultaneous_cd_kwh2,charge_power_ok,discharge_power_ok,soc_bounds_ok
2025-05-29,4.547473508864641e-13,0.0,3.637978807091713e-12,2.2737367544323206e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-05-30,4.547473508864641e-13,0.0,3.637978807091713e-12,4.547473508864641e-13,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-05-31,4.547473508864641e-13,3.637978807091713e-12,3.637978807091713e-12,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-06-01,2.2737367544323206e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.623767952376511e-13,0.0,0.0,True,True,True
2025-06-02,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-06-03,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,3.410605131648481e-13,0.0,0.0,True,True,True
2025-06-04,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12,4.547473508864641e-13,0.0,0.0,True,True,True
2025-06-05,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,4.547473508864641e-13,0.0,0.0,True,True,True
2025-06-06,4.547473508864641e-13,0.0,1.8189894035458565e-12,0.0,0.0,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-06-07,4.547473508864641e-13,7.275957614183426e-12,3.637978807091713e-12,9.094947017729282e-13,0.0,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-06-08,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.7711166694643907e-13,0.0,0.0,True,True,True
2025-06-09,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.5579538487363607e-13,0.0,0.0,True,True,True
2025-06-10,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,True,True,True
2025-06-11,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-06-12,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,4.547473508864641e-13,4.547473508864641e-13,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,3.410605131648481e-13,0.0,0.0,True,True,True
2025-06-13,2.2737367544323206e-13,7.275957614183426e-12,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,3.410605131648481e-13,0.0,0.0,True,True,True
2025-06-14,2.2737367544323206e-13,0.0,3.637978807091713e-12,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-06-15,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,1.1368683772161603e-13,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-06-16,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-06-17,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,True,True,True
2025-06-18,4.547473508864641e-13,0.0,0.0,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-06-19,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,4.547473508864641e-13,4.547473508864641e-13,9.094947017729282e-13,1.3642420526593924e-12,1.3642420526593924e-12,4.547473508864641e-13,0.0,0.0,True,True,True
2025-06-20,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-06-21,4.547473508864641e-13,0.0,3.637978807091713e-12,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-06-22,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.4158453015843406e-13,0.0,0.0,True,True,True
2025-06-23,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,3.055333763768431e-13,0.0,0.0,True,True,True
2025-06-24,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.5579538487363607e-13,0.0,0.0,True,True,True
