date,forecast_mode,risk_alpha,scenario_k,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,unused_plan_kwh,emergency_kwh,used_full_day_actual_lp,future_actuals_in_optimizer,pass,fallback_reason,include_value_cuts
2025-07-01,m1,0.6,8,8484.783990654305,7177.960003137957,44839.90180258297,27817.838934702297,72657.74073728526,701.742312412805,7620.922184887638,False,False,True,,True
2025-07-02,m1,0.6,8,7177.960003137957,7106.175153706233,44306.130558305114,28078.073516975368,72384.20407528049,3649.3048996669672,7376.221241191735,False,False,True,,True
2025-07-03,m1,0.6,8,7106.175153706233,1200.0000000632704,40649.04873547813,42130.1852650372,82779.23400051534,223.48742448876308,12070.295322544922,False,False,True,,True
2025-07-04,m1,0.6,8,1200.0000000632704,1200.0000000632717,19856.785446826005,32188.627416048992,52045.412862875,641.1379198784276,8741.627875701046,False,False,True,,True
2025-07-05,m1,0.6,8,1200.0000000632717,7116.139452410006,22194.315041631915,32398.99763661357,54593.312678245486,595.8582788406768,8411.078944515106,False,False,True,,True
2025-07-06,m1,0.6,8,7116.139452410006,7048.5667478111045,41469.804257994256,52143.2918368456,93613.09609483986,35.68732498077793,14425.319829602178,False,False,True,,True
2025-07-07,m1,0.6,8,7048.5667478111045,7017.775391106237,41260.28669901604,31010.13601510095,72270.42271411698,137.86262379030677,8551.815171155613,False,False,True,,True
2025-07-08,m1,0.6,8,7017.775391106237,7542.959898352902,42733.872981458946,36183.32388063693,78917.19686209588,696.4794569753753,10118.03111436442,False,False,True,,True
2025-07-09,m1,0.6,8,7542.959898352902,7670.676429511651,42418.379334224024,29261.133610197605,71679.51294442163,209.22220117124255,8508.72091912088,False,False,True,,True
2025-07-10,m1,0.6,8,7670.676429511651,1239.4973069695754,39741.451667936344,25807.944410311673,65549.39607824801,243.3163532117661,7116.061597071349,False,False,True,,True
2025-07-11,m1,0.6,8,1239.4973069695754,1200.0000000632572,20239.516025668003,28584.789465337635,48824.30549100564,947.4917911338515,8157.407437297882,False,False,True,,True
2025-07-12,m1,0.6,8,1200.0000000632572,7379.791630567559,23115.551859229177,26737.396254110372,49852.948113339546,642.3482556425466,6980.174008713751,False,False,True,,True
