date,strategy,load_information_case,pv_mapping_mode,settlement_mode,with_terminal_value,year_end_soc_kwh,year_end_boundary,run_id,update_time,first_mutable_index,voi_yuan,implemented,l1_change_kwh,up_adjust_kwh,down_adjust_kwh,j_fix_yuan,j_free_yuan,soc_before_kwh,soc_after_plan_kwh,solver_status,solve_seconds
2025-12-02,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-02__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,12:00,72,529.5161948519817,True,1273.9042342765993,1.8166166666669596,1272.0876176099323,87565.27202523936,87035.75583038738,6733.985905294663,8428.291709717201,optimal,0.05161846799819614
2025-12-02,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-02__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,18:00,108,0.0,False,0.0,0.0,0.0,61766.463406044095,61766.463406044095,10800.0,8428.291709494972,optimal,0.04326232000130403
2025-12-02,M6_only,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-02__M6_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,87255.3811745712,87255.3811745712,0.0,,102153.54838522444,8204.320613231039,8428.291709720488,optimal,0.04632062000018777
2025-12-02,M6_only,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-02__M6_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,06:00,36,838.4351128451235,True,1864.9522968441515,110.17299999999989,1754.7792968441518,92438.91410248412,91600.478989639,9921.589538842116,8428.291709720488,optimal,0.059937091000392684
2025-12-02,M6_only,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-02__M6_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,00:00,0,,True,87255.3811745712,87255.3811745712,0.0,,102153.54838522444,8204.320613231039,8428.291709720488,optimal,0.04589393700007349
2025-12-02,M6_only,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-02__M6_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,06:00,36,838.4351128451235,True,1864.9522968441515,110.17299999999989,1754.7792968441518,92438.91410248412,91600.478989639,9921.589538842116,8428.291709720488,optimal,0.06013971299944387
2025-12-02,M12_only,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-02__M12_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,87255.38117456772,87255.38117456772,0.0,,102153.54838522444,8204.320613231055,8428.291709717201,optimal,0.04608727199956775
2025-12-02,M12_only,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-02__M12_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,12:00,72,628.4242944970902,True,1925.2297513981741,5.069641666666712,1920.1601097315074,87664.18012488447,87035.75583038738,6733.985905294663,8428.291709717201,optimal,0.0513885369982745
2025-12-02,M12_only,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-02__M12_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,00:00,0,,True,87255.38117456772,87255.38117456772,0.0,,102153.54838522444,8204.320613231055,8428.291709717201,optimal,0.046451701999103534
2025-12-02,M12_only,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-02__M12_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,12:00,72,628.4242944970902,True,1925.2297513981741,5.069641666666712,1920.1601097315074,87664.18012488447,87035.75583038738,6733.985905294663,8428.291709717201,optimal,0.05158314800064545
