date,strategy,load_information_case,pv_mapping_mode,settlement_mode,with_terminal_value,run_id,row_role,period,time,plan_version_time,g_before_kwh,g_after_kwh,up_adjust_kwh,down_adjust_kwh,ordinary_yuan,up_fee_yuan,down_fee_yuan,emergency_kwh,emergency_yuan,total_yuan
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,24,04:10,00:00,529.3050333333333,529.3050333333333,0.0,0.0,232.94714517,0.0,0.0,0.0,0.0,232.94714517
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,24,04:10,00:00,529.3050333333333,529.3050333333333,0.0,0.0,232.94714517,0.0,0.0,0.0,0.0,232.94714517
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,24,04:10,execution,529.3050333333333,529.3050333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,25,04:20,00:00,519.2568208333332,519.2568208333332,0.0,0.0,227.90181866374996,0.0,0.0,0.0,0.0,227.90181866374996
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,25,04:20,00:00,519.2568208333332,519.2568208333332,0.0,0.0,227.90181866374996,0.0,0.0,0.0,0.0,227.90181866374996
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,25,04:20,execution,519.2568208333332,519.2568208333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,26,04:30,00:00,530.655,530.655,0.0,0.0,231.577842,0.0,0.0,0.0,0.0,231.577842
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,26,04:30,00:00,530.655,530.655,0.0,0.0,231.577842,0.0,0.0,0.0,0.0,231.577842
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,26,04:30,execution,530.655,530.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,27,04:40,00:00,542.9711791666666,542.9711791666666,0.0,0.0,238.52723900791665,0.0,0.0,0.0,0.0,238.52723900791665
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,27,04:40,00:00,542.9711791666666,542.9711791666666,0.0,0.0,238.52723900791665,0.0,0.0,0.0,0.0,238.52723900791665
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,27,04:40,execution,542.9711791666666,542.9711791666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,28,04:50,00:00,550.9038875,550.9038875,0.0,0.0,243.6096990525,0.0,0.0,0.0,0.0,243.6096990525
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,28,04:50,00:00,550.9038875,550.9038875,0.0,0.0,243.6096990525,0.0,0.0,0.0,0.0,243.6096990525
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,28,04:50,execution,550.9038875,550.9038875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,29,05:00,00:00,553.7533333333333,553.7533333333333,0.0,0.0,243.37459,0.0,0.0,0.0,0.0,243.37459
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,29,05:00,00:00,553.7533333333333,553.7533333333333,0.0,0.0,243.37459,0.0,0.0,0.0,0.0,243.37459
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,29,05:00,execution,553.7533333333333,553.7533333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,30,05:10,00:00,552.5619666666666,552.5619666666666,0.0,0.0,239.42510015666667,0.0,0.0,0.0,0.0,239.42510015666667
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,30,05:10,00:00,552.5619666666666,552.5619666666666,0.0,0.0,239.42510015666667,0.0,0.0,0.0,0.0,239.42510015666667
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,30,05:10,execution,552.5619666666666,552.5619666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,31,05:20,00:00,553.7675875,553.7675875,0.0,0.0,245.81743209125,0.0,0.0,0.0,0.0,245.81743209125
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,31,05:20,00:00,553.7675875,553.7675875,0.0,0.0,245.81743209125,0.0,0.0,0.0,0.0,245.81743209125
