date,normal_purchase_cost_yuan,emergency_cost_yuan,total_cost_yuan,normal_purchase_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,max_simultaneous_cd_kwh2,solve_seconds,pass
2025-06-16,45908.1933353559,0.0,45908.1933353559,74989.29223213738,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005107292003231123,True
2025-06-17,47357.23336761571,0.0,47357.23336761571,77015.32705680943,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005057959002442658,True
2025-06-18,44574.65305122014,0.0,44574.65305122014,73081.02472717981,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005003875005058944,True
2025-06-19,43269.97372340182,0.0,43269.97372340182,70426.80650310572,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0049330840120092034,True
2025-06-20,17437.541914581532,0.0,17437.541914581532,31483.225318344696,0.0,7851.798337461187,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0048517080140300095,True
2025-06-21,16923.15455005912,0.0,16923.15455005912,31438.2995720484,0.0,10839.997537461184,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004784958000527695,True
2025-06-22,42450.912915414774,0.0,42450.912915414774,69560.60024940202,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004911458992864937,True
2025-06-23,42759.13995845423,0.0,42759.13995845423,69241.83122903165,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0049696670030243695,True
2025-06-24,48259.00916620436,0.0,48259.00916620436,78677.33329139664,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0050753329996950924,True
2025-06-25,43933.81936814738,0.0,43933.81936814738,72675.97695310574,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004953583003953099,True
2025-06-26,42448.190404549045,0.0,42448.190404549045,69710.70097658184,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.0050635000225156546,True
2025-06-27,16827.894015371156,0.0,16827.894015371156,30805.282622048395,0.0,9780.38752079452,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.0047745840274728835,True
2025-06-28,16942.676474469303,0.0,16942.676474469303,31340.36653686321,0.0,8307.712720794516,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0047917089832481,True
2025-06-29,43223.1203822017,0.0,43223.1203822017,71392.24400643905,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005189125018659979,True
2025-06-30,43657.29669804901,0.0,43657.29669804901,72049.598761767,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005049250001320615,True
2025-07-01,50157.79620410443,0.0,50157.79620410443,81069.92081547072,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004867000010563061,True
2025-07-02,46720.36893220256,0.0,46720.36893220256,74893.01129384647,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005087249999633059,True
2025-07-03,51045.88592443016,0.0,51045.88592443016,82021.37198213738,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.009639500000048429,True
2025-07-04,23485.31177846166,0.0,23485.31177846166,40508.355242418766,0.0,10308.367687461185,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.006085833010729402,True
2025-07-05,23836.08003212379,0.0,23836.08003212379,41030.915488715065,0.0,10911.068120794516,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005590957996901125,True
2025-07-06,51523.16855727167,0.0,51523.16855727167,82101.25113069832,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005467750015668571,True
2025-07-07,46928.833011803115,0.0,46928.833011803115,75372.56510495758,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005056541005615145,True
2025-07-08,49055.47252098875,0.0,49055.47252098875,77774.81700250774,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005071833002148196,True
2025-07-09,47564.425616113294,0.0,47564.425616113294,76187.44949569831,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005118125001899898,True
2025-07-10,47257.813468176995,0.0,47257.813468176995,74952.5809308835,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.00504945800639689,True
2025-07-11,23463.509194682865,0.0,23463.509194682865,40713.94321093729,0.0,6829.016620794517,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004900333995465189,True
2025-07-12,23817.017236335276,0.0,23817.017236335276,40974.58986649284,0.0,8563.625654127849,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004860625020228326,True
2025-07-13,45307.233031832,0.0,45307.233031832,71295.5064734761,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005115624982863665,True
2025-07-14,46488.84025803089,0.0,46488.84025803089,73752.94344755018,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005157374980626628,True
