calibration_date,history_cutoff_date,candidate_k,selected_k,effective_start_date,effective_end_date,mean_validation_cost_yuan,standard_error_yuan,validation_days,emergency_purchase_kwh,mean_solve_seconds,within_time_limit,candidate_selected,selected,fallback_reason
2025-03-12,2025-03-11,2,2,2025-03-12,2025-03-25,37159.59134596462,4095.4362987435056,14,21347.40903181439,0.024874110352746875,True,True,True,
2025-03-12,2025-03-11,4,2,2025-03-12,2025-03-25,36362.33601820846,4047.122121474249,14,18486.55720267783,0.043372375073626505,True,False,False,
2025-03-12,2025-03-11,6,2,2025-03-12,2025-03-25,35556.770426383206,3840.051251249387,14,14169.250705829509,0.05836252985630251,True,False,False,
2025-03-12,2025-03-11,8,2,2025-03-12,2025-03-25,35339.64087689649,3844.9343030808113,14,11286.951720168614,0.07677282449315369,True,False,False,
2025-03-12,2025-03-11,10,2,2025-03-12,2025-03-25,35380.97191660567,3881.858901689473,14,12740.349918103844,0.10179203871770628,True,False,False,
2025-03-12,2025-03-11,12,2,2025-03-12,2025-03-25,35543.654746948065,3967.6627256523957,14,14577.07185242447,0.13517355371940148,True,False,False,
2025-03-26,2025-03-25,2,2,2025-03-26,2025-04-08,31582.43676358442,3139.0896187387284,14,8751.211587979145,0.023714205283405527,True,True,True,
2025-03-26,2025-03-25,4,2,2025-03-26,2025-04-08,31032.737536521632,3117.4069005180286,14,7112.768286832389,0.04091561284647988,True,False,False,
2025-03-26,2025-03-25,6,2,2025-03-26,2025-04-08,31020.446388198245,3082.23009639225,14,8032.305587449822,0.05694750892455756,True,False,False,
2025-03-26,2025-03-25,8,2,2025-03-26,2025-04-08,30785.927234196493,3102.0748710424614,14,6593.382074029506,0.07906886621744239,True,False,False,
2025-03-26,2025-03-25,10,2,2025-03-26,2025-04-08,30514.0851036974,3009.9898389573887,14,4484.707867918504,0.1109754882865153,True,False,False,
2025-03-26,2025-03-25,12,2,2025-03-26,2025-04-08,30709.054068455593,2974.4621878991506,14,7094.51608779838,0.14092707757455564,True,False,False,
2025-04-09,2025-04-08,2,2,2025-04-09,2025-04-22,29924.608909983966,3038.7778796293633,14,17910.007811883293,0.024158395641799352,True,True,True,
2025-04-09,2025-04-08,4,2,2025-04-09,2025-04-22,29570.37895644632,2962.8799617698783,14,16289.006286666605,0.040324283075668585,True,False,False,
2025-04-09,2025-04-08,6,2,2025-04-09,2025-04-22,29210.676459869774,2872.5616298189275,14,14468.195039011836,0.05860122342502499,True,False,False,
2025-04-09,2025-04-08,8,2,2025-04-09,2025-04-22,29018.357482306244,2866.3205726002084,14,12976.54801859084,0.07548341078342803,True,False,False,
2025-04-09,2025-04-08,10,2,2025-04-09,2025-04-22,29399.372529096876,2944.551645951061,14,16422.200535946246,0.10040650608217609,True,False,False,
2025-04-09,2025-04-08,12,2,2025-04-09,2025-04-22,29363.098292983785,2919.688249428361,14,16408.478743633896,0.13535575913972156,True,False,False,
2025-04-23,2025-04-22,2,2,2025-04-23,2025-05-06,26765.03453447866,2744.991746756172,14,10619.079964960863,0.023968660648928823,True,True,True,
2025-04-23,2025-04-22,4,2,2025-04-23,2025-05-06,26751.514057858174,2669.654750338136,14,12671.829426470826,0.042204940429655835,True,False,False,
2025-04-23,2025-04-22,6,2,2025-04-23,2025-05-06,26543.983196678637,2678.482323120581,14,12090.757489024207,0.057678130923055244,True,False,False,
2025-04-23,2025-04-22,8,2,2025-04-23,2025-05-06,26552.31875088368,2677.0271945548784,14,11986.069998555602,0.07699956250352054,True,False,False,
2025-04-23,2025-04-22,10,2,2025-04-23,2025-05-06,26560.12074100288,2677.605509790281,14,10487.762700097992,0.10462252363920145,True,False,False,
2025-04-23,2025-04-22,12,2,2025-04-23,2025-05-06,26139.26958992158,2590.0779186206796,14,7214.822568083029,0.14354922013548535,True,False,False,
2025-05-07,2025-05-06,2,2,2025-05-07,2025-05-20,31982.304577158317,2973.80416711365,14,31879.205205727972,0.025589890000576685,True,True,True,
2025-05-07,2025-05-06,4,2,2025-05-07,2025-05-20,31401.751101189853,2879.151127461717,14,28828.529075973758,0.04148204757698944,True,False,False,
2025-05-07,2025-05-06,6,2,2025-05-07,2025-05-20,30897.155814955186,2858.749732110284,14,27499.75534322095,0.06748578286039576,True,False,False,
