date,selected_k,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_q_kwh,planned_q_sha256,actual_x_kwh,unused_plan_kwh,emergency_kwh,curtailment_kwh,max_balance_residual_kwh,max_x_minus_q_kwh,pass
2025-03-08,2,29462.56493551268,1469.82702554851,30932.391961061192,39853.04898690476,0da1879ada308b16dacdc54faecd6eaf3fb4a2157eb034e0753a9796cb4ec6d3,38031.03737261905,1822.0116142857148,444.8762940476186,19412.774149999997,5.684341886080802e-14,0.0,True
2025-03-09,2,56763.72870176083,2534.1039258925575,59297.83262765339,71319.34325714286,536583fc923c27b20105bc96678855e0c64f51b4ce1f763670ff3fb1901b6d54,67079.6532172619,4239.690039880954,581.6768327380942,4327.804999999999,0.0,0.0,True
2025-03-10,2,54295.9564703519,7909.072625263394,62205.02909561529,68551.17241011905,a37b365d4e57e0a4f1726a51e5c91c4817ade04e59c6749dc0e04e5560615676,67031.55199166667,1519.620418452379,1940.6629083333332,930.1434499999995,1.1368683772161603e-13,0.0,True
2025-03-11,2,55617.73237304714,5071.479136157443,60689.211509204586,70086.82638571429,415ba2407648037118e71faab82019099f1c6b2ce627647c576ce1338fa74bfb,66153.72064464286,3933.1057410714284,1387.2404886904765,3602.0423333333333,1.1368683772161603e-13,0.0,True
2025-03-12,2,55268.25078974958,4494.28459356101,59762.53538331059,69729.3917095238,74774ce35d07d478a664d4bc59a5841da8b1cc3a09c4ca57acd4b197dc5ee0a3,66092.06673095239,3637.324978571429,1230.9439523809517,4887.476,1.1368683772161603e-13,0.0,True
2025-03-13,2,54749.57028493565,7741.8680490738125,62491.438334009465,69098.50210357143,859b79405c24f7eb25d47d6a87363b574cbc9278f445c55b1471880dc92214d6,66412.18238749998,2686.31971607143,1860.6768291666672,727.2411999999996,1.1368683772161603e-13,0.0,True
2025-03-14,2,28624.981580696964,3346.1776081892867,31971.15918888625,38876.41273869047,0232c0644d59055a64b61a1236719ba72f9b90a2262f9c5444a4542722110c95,36566.82633869047,2309.5864,857.8097779761906,21395.21013333333,0.0,0.0,True
2025-03-15,2,28403.98008256113,3799.0341480014868,32203.014230562618,38540.588494642856,2580aa155d4a8f271b207bc1b8396b6ea6bdb94957c61b6b42a048abedf20362,37183.621316666664,1356.9671779761902,1024.0141499999995,17283.510316666667,5.684341886080802e-14,0.0,True
2025-03-16,2,54941.402581446724,4371.973714678271,59313.376296124996,69339.24865892857,30c4d6a0816235537df4e3e83cb71480e856e64f9e11e36f3b100bffab122ef6,65810.45492202381,3528.7937369047613,1111.6307946428565,3571.0387833333325,0.0,0.0,True
2025-03-17,2,54626.428259038395,2338.375243263984,56964.80350230238,69026.91271011904,aabfe8db11efe0807502a4c26f67902760253d69b1cfe4efcf4bd2966f67559d,63744.17035654761,5282.742353571428,533.4236101190465,6419.462533333332,1.1368683772161603e-13,0.0,True
2025-03-18,2,53866.321570328866,4773.362559649401,58639.68412997827,68245.22376785715,89b03b91e46ec167a5c7db3208443b6ed8b1f6ef9ac1a9bc24bdf496c79d7cea,64955.1842827381,3290.039485119047,1049.8493005952373,4879.075216666666,0.0,0.0,True
2025-03-19,2,53984.0299378553,3246.931284637497,57230.9612224928,68346.80151130952,646ab813252ca4fd571aeb993a67db941c96e5795482c583a6e58dc90e3c0ac6,64761.12928511904,3585.672226190476,728.3054482142852,6023.964283333333,1.1368683772161603e-13,0.0,True
2025-03-20,2,53745.5240463881,5834.849750527976,59580.37379691607,67872.24654404761,811a669bf34089897421372e477b55afe55f8f11b30ad932a40dec3ac708caf4,64703.269369642854,3168.977174404762,1416.5691303571427,3910.876683333333,1.1368683772161603e-13,0.0,True
2025-03-21,2,28119.71201706565,2154.206139248512,30273.91815631416,38265.148603571426,7fbb1f5daf9fbe913d9e1b9e0c6a68df40d7b13c2d2810aaa67bdbb094f3566d,36414.723802976194,1850.4248005952375,554.2261470238095,24935.485433333328,5.684341886080802e-14,0.0,True
2025-03-22,2,27902.521432194702,2156.65780437976,30059.179236574462,37793.892036904756,4d5d5c63b2fa7863704e12c6ef54753279811d4b73754dacdc28d95880a2603f,36045.6913,1748.2007369047622,699.4397999999992,20863.931366666664,5.684341886080802e-14,0.0,True
