time,price,load_kwh,pv_kwh,grid_purchase_kwh,charge_kwh,discharge_kwh,soc_kwh,curtailment_kwh,balance_residual_kwh
8:50-9:00,1.043,970.6967833333333,792.1378666666666,0.0,0.0,178.55891666666673,2045.3738269369408,0.0,0.0
9:00-9:10,1.036,992.3766833333334,836.9845666666666,0.0,0.0,155.39211666666677,1881.5761539031812,0.0,0.0
9:10-9:20,1.0147,993.1616,880.9020999999999,0.0,0.0,112.25950000000012,1763.244250905957,0.0,0.0
9:20-9:30,0.9922,988.2592333333333,923.8623666666667,0.0,0.0,64.3968666666666,1695.3639932910098,0.0,0.0
9:30-9:40,0.97,987.2971333333332,964.7348833333333,0.0,0.0,22.56224999999995,1671.5812935782985,0.0,0.0
9:40-9:50,0.9422,984.5976666666667,1002.0217333333333,0.0,17.42406666666659,0.0,1688.1112146090838,0.0,0.0
9:50-10:00,0.9569,983.1877,1036.0254666666665,0.0,52.83776666666654,0.0,1738.2375213520406,0.0,0.0
10:00-10:10,0.9977,983.7032666666667,1068.2656833333333,0.0,84.56241666666665,0.0,1818.4604736864958,0.0,0.0
10:10-10:20,0.9919,982.9132166666666,1099.8968,0.0,116.9835833333334,0.0,1929.4408453409296,0.0,0.0
10:20-10:30,0.9588,981.1261333333333,1127.7867333333334,0.0,146.66060000000004,0.0,2068.575307042997,0.0,0.0
10:30-10:40,0.9549,978.9118,1152.43205,0.0,173.52024999999992,0.0,2233.1910700915464,0.0,0.0
10:40-10:50,0.9839,976.3384666666667,1177.36755,0.0,201.02908333333323,0.0,2423.9040038722846,0.0,0.0
10:50-11:00,0.799,974.1658,1199.5719166666665,0.0,225.40611666666655,0.0,2637.7430220323768,0.0,0.0
11:00-11:10,0.5025,973.1764499999999,1217.1857,0.0,244.00925000000007,0.0,2869.230522077209,0.0,0.0
11:10-11:20,0.4662,973.1183833333332,1231.2808,415.1176493268283,673.2800659934951,0.0,3507.9600755955857,0.0,0.0
11:20-11:30,0.5007,970.5729666666666,1243.2044999999998,0.0,272.6315333333332,0.0,3766.601057790821,0.0,0.0
11:30-11:40,0.4827,969.1322,1253.4531833333333,0.0,284.3209833333333,0.0,4036.3316259644525,0.0,0.0
11:40-11:50,0.4785,972.06585,1261.3673166666667,0.0,289.3014666666668,0.0,4310.787095492637,0.0,0.0
11:50-12:00,0.4662,952.1501666666666,1265.3589833333333,520.1245166666665,833.3333333333333,0.0,5101.356510534732,0.0,0.0
12:00-12:10,0.4432,919.9101166666666,1266.84055,486.40289999999993,833.3333333333333,0.0,5891.925925576827,0.0,1.1368683772161603e-13
12:10-12:20,0.4411,915.7984499999999,1268.7193333333332,480.4124499999999,833.3333333333333,0.0,6682.495340618922,0.0,1.1368683772161603e-13
12:20-12:30,0.4551,919.0754,1267.1087333333332,485.29999999999995,833.3333333333333,0.0,7473.0647556610165,0.0,0.0
12:30-12:40,0.4463,914.3048333333332,1259.0312,488.6069666666666,833.3333333333333,0.0,8263.634170703112,0.0,1.1368683772161603e-13
12:40-12:50,0.4113,910.3937999999999,1245.4564,498.27073333333317,833.3333333333333,0.0,9054.203585745207,0.0,1.1368683772161603e-13
12:50-13:00,0.5682,927.6844333333333,1232.2361999999998,0.0,304.5517666666665,0.0,9343.12676017365,0.0,0.0
13:00-13:10,0.8279,954.2924666666665,1218.79965,0.0,264.5071833333334,0.0,9594.060307216369,0.0,0.0
13:10-13:20,0.8636,956.5826166666667,1199.0901666666666,0.0,242.50754999999992,0.0,9824.123169552518,0.0,0.0
13:20-13:30,0.8416,952.4472666666667,1175.5228499999998,0.0,223.07558333333316,0.0,10035.751249663726,0.0,0.0
13:30-13:40,0.8618,952.9750833333333,1151.7343999999998,0.0,198.75931666666656,0.0,10224.310893717326,0.0,0.0
13:40-13:50,0.8623,951.3747666666666,1128.7345833333334,0.0,177.3598166666668,0.0,10392.569189534293,0.0,0.0
13:50-14:00,0.9026,949.4863666666666,1101.2266666666665,0.0,151.74029999999982,0.0,10536.522677785468,0.0,0.0
14:00-14:10,0.9754,948.7163833333334,1068.7514166666665,0.0,120.0350333333331,0.0,10650.397909089737,0.0,0.0
14:10-14:20,1.0002,947.8548499999999,1035.6693,0.0,87.81445000000008,0.0,10733.70601113223,0.0,0.0
14:20-14:30,0.9978,946.4936666666667,1000.1185333333333,0.0,53.62486666666655,0.0,10784.579026499083,0.0,0.0
14:30-14:40,1.0271,944.9084666666665,961.1636,0.0,16.255133333333447,0.0,10800.0,0.0,0.0
