date,strategy,year_end_boundary,year_end_soc_kwh,total_cost_yuan,settlement_cost_yuan,emergency_cost_yuan,emergency_kwh,curtailment_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,g0_kwh,g_final_kwh,planned_energy_cost_yuan,max_balance_residual_kwh
2025-02-19,M1_M6,A_q2_aligned,1200.0,49866.74059862127,47171.20020829755,2695.5403903237197,721.9454498475043,73.13008333333465,22508.41666264293,20502.358043287015,8611.312212380279,8353.288225438178,75312.32402018322,76212.50655533854,46099.6270082859,1.1368683772161603e-13
2025-02-20,M1_M6,A_q2_aligned,1200.0,48128.02842825528,46416.95011325058,1711.0783150047007,403.47436562790284,242.6941458333371,20748.901516010497,19763.391583153112,8353.288225438178,7204.980649050705,77306.74648426482,74328.38274056937,47192.22204826119,1.1368683772161603e-13
2025-02-21,M1_M6,A_q2_aligned,1200.0,18409.04668826311,17119.53082256275,1289.515865700362,321.54610011814526,6218.144244405628,16355.827986855118,15050.495516371058,7204.980649050705,6856.86623733913,33473.4426994268,33688.94987944903,16825.695372123315,1.1368683772161603e-13
2025-02-22,M1_M6,A_q2_aligned,1200.0,19707.28591648382,18056.82340808952,1650.4625083942976,417.184133945914,3748.5237469464655,18557.05323399065,15109.474181998126,6856.86623733913,8534.848480585806,35398.72297663523,35421.28052405089,17846.076686056243,1.1368683772161603e-13
2025-02-23,M1_M6,A_q2_aligned,1200.0,49471.74747756572,46124.73665267516,3347.0108248905567,1012.4835744526841,160.73707500000023,22364.454876486812,20160.69736854258,8534.848480585806,8500.392324594,76980.72804961063,74436.20879258559,46601.06954226278,1.1368683772161603e-13
2025-02-24,M1_M6,A_q2_aligned,1200.0,47421.70761933149,45394.387567787606,2027.3200515438853,448.13537603358606,707.6518686076605,20723.044928377065,18649.829314062707,8500.392324594,8501.352730957778,73539.04110409129,73812.27731501833,45154.80745036054,1.6342482922482304e-13
2025-02-25,M1_M6,A_q2_aligned,1200.0,46930.21924337781,44121.92882492999,2808.290418447818,682.7977875775964,443.1460041666653,21221.51920434686,19121.200022254423,8501.352730957778,8478.339004051113,76337.38370462756,69967.35213345836,46251.19726391829,1.7053025658242404e-13
2025-02-26,M1_M6,A_q2_aligned,1200.0,46881.58535618221,44245.96263795812,2635.62271822409,675.9125657418059,493.64067231871826,21803.923899108668,19620.00521589403,8478.339004051113,8482.056043563682,69264.62369443214,72191.79087785124,41641.46326353727,1.1879386363489175e-13
2025-02-27,M1_M6,A_q2_aligned,1200.0,44896.16195467496,42715.7676538715,2180.394300803454,479.7782401686185,272.40617260809483,19843.633954229044,19628.259259701474,8482.056043563682,6617.378226919812,68499.21221372424,68712.47888997712,41912.540667635476,1.1368683772161603e-13
2025-02-28,M1_M6,A_q2_aligned,1200.0,17882.707000257837,16344.758899672312,1537.9481005855241,403.85382015959703,7296.092089621676,16044.61172209541,14967.699184231928,6617.378226919812,6061.293139904854,31965.279199985496,32000.613585781,16200.48738482571,1.1368683772161603e-13
