date,strategy,load_information_case,with_terminal_value,update_time,first_mutable_index,voi_yuan,implemented,l1_change_kwh,up_adjust_kwh,down_adjust_kwh,j_fix_yuan,j_free_yuan,soc_before_kwh,soc_after_plan_kwh,solver_status,solve_seconds
2025-06-21,M1_M6,causal_load_main,True,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.04617680700039273
2025-06-21,M1_M6,causal_load_main,True,06:00,36,419.5500711907516,True,399.6089754661349,66.23565000000093,333.37332546613396,51555.77717869559,51136.22710750484,2361.6684447312873,8428.291709248684,optimal,0.06018402200015771
2025-06-21,M1_M6,causal_load_main,True,12:00,72,1134.469341414726,True,609.4084333334324,559.6616083333265,49.746825000105844,50419.74545749548,49285.27611608076,1619.5716917362042,8428.291709248602,optimal,0.05155733899982806
2025-06-21,M1_M6,causal_load_main,True,18:00,108,20.475935097165348,True,29.13309959140281,4.662368837671238e-07,29.133099125165927,48126.02300578967,48105.547070692504,10393.223926673485,8428.291710460462,optimal,0.04378457599977992
2025-06-21,M6_only,causal_load_main,True,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.04572612599986314
2025-06-21,M6_only,causal_load_main,True,06:00,36,419.5500711907516,True,399.6089754661349,66.23565000000093,333.37332546613396,51555.77717869559,51136.22710750484,2361.6684447312873,8428.291709248684,optimal,0.05982445900008315
2025-06-21,M12_only,causal_load_main,True,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.04585964999932912
2025-06-21,M12_only,causal_load_main,True,12:00,72,1048.6519113036338,True,654.3485031285363,654.3485026622652,4.66271103505278e-07,50610.82672223305,49562.17481092941,1229.1207839809758,8428.291709248575,optimal,0.05154299999958312
2025-06-21,M18_only,causal_load_main,True,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.04577924200020789
2025-06-21,M18_only,causal_load_main,True,18:00,108,2.187649519139086,True,15.70459093660395,0.0,15.70459093660395,48107.734720123146,48105.54707060401,10393.223926826086,8428.291710460462,optimal,0.04392310799994448
2025-06-21,M1_M6,causal_load_main,False,00:00,0,,True,25307.61732150232,25307.61732150232,0.0,,13931.385365842343,6000.0,1200.0,optimal,0.036840566999671864
2025-06-21,M1_M6,causal_load_main,False,06:00,36,419.5500711907516,True,399.60897547893353,66.23565022686378,333.3733252520697,8899.996417096972,8480.44634590622,2361.6684447312873,1200.0,optimal,0.04385337200073991
2025-06-21,M1_M6,causal_load_main,False,12:00,72,1134.469341414735,True,609.408433333331,559.6616083333273,49.74682500000375,9813.099562411755,8678.63022099702,1619.5716917362042,1200.0,optimal,0.03539019500021823
2025-06-21,M1_M6,causal_load_main,False,18:00,108,34.22675841833552,True,29.133100002786385,0.0,29.133100002786385,6559.448213797584,6525.221455379248,10393.223926826086,1200.0,optimal,0.027766350001002138
2025-06-21,M0,actual_load_proxy,True,00:00,0,,True,34896.07920910692,34896.07920910692,0.0,,58078.05192672049,6000.0,8428.291709701589,optimal,0.0457252989999688
2025-06-21,M1_M6,actual_load_proxy,True,00:00,0,,True,34896.07920910692,34896.07920910692,0.0,,58078.05192672049,6000.0,8428.291709701589,optimal,0.04597162600020965
2025-06-21,M1_M6,actual_load_proxy,True,06:00,36,443.3399041603261,True,458.34328379951484,66.23565000000156,392.1076337995133,52651.65027029859,52208.31036613826,2434.4458977638697,8428.291709259316,optimal,0.05986237900015112
2025-06-21,M1_M6,actual_load_proxy,True,12:00,72,1230.786494217762,True,609.40843333333,559.6616083333297,49.74682500000023,51571.51497102921,50340.72847681145,2400.2885853739367,8428.291709259343,optimal,0.051203318999796466
2025-06-21,M1_M6,actual_load_proxy,True,18:00,108,5.0552805790212005,True,36.29059903040627,4.66180040348263e-07,36.29059856422623,48345.56789297662,48340.5126123976,10781.464736804792,8428.29171121502,optimal,0.04367643200021121
2025-06-21,M6_only,actual_load_proxy,True,00:00,0,,True,34896.07920910692,34896.07920910692,0.0,,58078.05192672049,6000.0,8428.291709701589,optimal,0.045842174000426894
2025-06-21,M6_only,actual_load_proxy,True,06:00,36,443.3399041603261,True,458.34328379951484,66.23565000000156,392.1076337995133,52651.65027029859,52208.31036613826,2434.4458977638697,8428.291709259316,optimal,0.059835721000126796
2025-06-21,M12_only,actual_load_proxy,True,00:00,0,,True,34896.07920910692,34896.07920910692,0.0,,58078.05192672049,6000.0,8428.291709701589,optimal,0.04599688899998
2025-06-21,M12_only,actual_load_proxy,True,12:00,72,2480.2921824047007,True,1341.8478873877052,1341.847886921525,4.66180040348263e-07,53751.01218434471,51270.72000194001,1301.8982370135582,8428.291709259316,optimal,0.051579266000771895
2025-06-21,M18_only,actual_load_proxy,True,00:00,0,,True,34896.07920910692,34896.07920910692,0.0,,58078.05192672049,6000.0,8428.291709701589,optimal,0.046141482000166434
2025-06-21,M18_only,actual_load_proxy,True,18:00,108,3.1846892691683024,True,22.862090936539175,0.0,22.862090936539175,48351.90614881094,48348.72145954177,10767.309846167494,8428.291710471209,optimal,0.0441065589993741
2025-06-21,M1_M6,actual_load_proxy,False,00:00,0,,True,27337.31752983565,27337.31752983565,0.0,,15337.900373981938,6000.0,1200.0,optimal,0.03711455600023328
2025-06-21,M1_M6,actual_load_proxy,False,06:00,36,443.33990416032793,True,458.34328381224293,66.23565022685281,392.10763358539015,9995.327903308043,9551.987999147716,2434.4458977638697,1200.0,optimal,0.04421731199909118
2025-06-21,M1_M6,actual_load_proxy,False,12:00,72,1230.7864942177548,True,609.4084333333362,559.6616083333328,49.74682500000341,10964.327470553544,9733.54097633579,2400.2885853739367,1200.0,optimal,0.03539088300021831
2025-06-21,M1_M6,actual_load_proxy,False,18:00,108,22.18444388000171,True,36.290600002790654,0.0,36.290600002790654,6781.829835660929,6759.645391780928,10781.464736804792,1200.0,optimal,0.02764735500113602
