date,update_time,period,time,forecast_kwh,actual_pv_kwh,left_node_minute,right_node_minute,left_weight,right_weight,is_executed_actual,source
2025-06-21,12:00,77,13:00,1312.02985,1341.6,720.0,780.0,0.0,1.0,False,causal_hourly_interpolation
2025-06-21,12:00,78,13:10,1250.3870833333333,1248.9026999999999,780.0,840.0,0.8333333333333334,0.16666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,79,13:20,1188.7443166666667,1225.8205166666667,780.0,840.0,0.6666666666666667,0.3333333333333333,False,causal_hourly_interpolation
2025-06-21,12:00,80,13:30,1127.1015499999999,1223.4812499999998,780.0,840.0,0.5,0.5,False,causal_hourly_interpolation
2025-06-21,12:00,81,13:40,1065.4587833333333,1119.1241499999999,780.0,840.0,0.33333333333333337,0.6666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,82,13:50,1003.8160166666667,1021.2925,780.0,840.0,0.16666666666666663,0.8333333333333334,False,causal_hourly_interpolation
2025-06-21,12:00,83,14:00,942.1732499999999,992.6999999999999,780.0,840.0,0.0,1.0,False,causal_hourly_interpolation
2025-06-21,12:00,84,14:10,932.300675,990.2996333333333,840.0,900.0,0.8333333333333334,0.16666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,85,14:20,922.4280999999999,971.2156666666666,840.0,900.0,0.6666666666666667,0.3333333333333333,False,causal_hourly_interpolation
2025-06-21,12:00,86,14:30,912.555525,956.3562499999999,840.0,900.0,0.5,0.5,False,causal_hourly_interpolation
2025-06-21,12:00,87,14:40,902.68295,994.0434499999999,840.0,900.0,0.33333333333333337,0.6666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,88,14:50,892.810375,996.54085,840.0,900.0,0.16666666666666663,0.8333333333333334,False,causal_hourly_interpolation
2025-06-21,12:00,89,15:00,882.9377999999999,946.7437499999999,840.0,900.0,0.0,1.0,False,causal_hourly_interpolation
2025-06-21,12:00,90,15:10,841.1854666666666,909.52565,900.0,960.0,0.8333333333333334,0.16666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,91,15:20,799.4331333333332,858.8448,900.0,960.0,0.6666666666666667,0.3333333333333333,False,causal_hourly_interpolation
2025-06-21,12:00,92,15:30,757.6808000000001,801.85,900.0,960.0,0.5,0.5,False,causal_hourly_interpolation
2025-06-21,12:00,93,15:40,715.9284666666667,780.1588666666667,900.0,960.0,0.33333333333333337,0.6666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,94,15:50,674.1761333333334,746.8723499999999,900.0,960.0,0.16666666666666663,0.8333333333333334,False,causal_hourly_interpolation
2025-06-21,12:00,95,16:00,632.4238,675.9,900.0,960.0,0.0,1.0,False,causal_hourly_interpolation
2025-06-21,12:00,96,16:10,597.4204083333334,593.8094166666666,960.0,1020.0,0.8333333333333334,0.16666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,97,16:20,562.4170166666667,560.2481333333333,960.0,1020.0,0.6666666666666667,0.3333333333333333,False,causal_hourly_interpolation
2025-06-21,12:00,98,16:30,527.4136249999999,567.7624999999999,960.0,1020.0,0.5,0.5,False,causal_hourly_interpolation
2025-06-21,12:00,99,16:40,492.41023333333334,548.5382999999999,960.0,1020.0,0.33333333333333337,0.6666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,100,16:50,457.4068416666667,494.0291666666667,960.0,1020.0,0.16666666666666663,0.8333333333333334,False,causal_hourly_interpolation
2025-06-21,12:00,101,17:00,422.40345,437.26875,960.0,1020.0,0.0,1.0,False,causal_hourly_interpolation
2025-06-21,12:00,102,17:10,379.01840833333335,413.20709999999997,1020.0,1080.0,0.8333333333333334,0.16666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,103,17:20,335.6333666666667,364.3091333333333,1020.0,1080.0,0.6666666666666667,0.3333333333333333,False,causal_hourly_interpolation
2025-06-21,12:00,104,17:30,292.248325,291.74375,1020.0,1080.0,0.5,0.5,False,causal_hourly_interpolation
2025-06-21,12:00,105,17:40,248.86328333333336,254.73118333333332,1020.0,1080.0,0.33333333333333337,0.6666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,106,17:50,205.4782416666667,218.40456666666665,1020.0,1080.0,0.16666666666666663,0.8333333333333334,False,causal_hourly_interpolation
2025-06-21,12:00,107,18:00,162.0932,172.34999999999997,1020.0,1080.0,0.0,1.0,False,causal_hourly_interpolation
2025-06-21,12:00,108,18:10,135.27793333333332,143.3881,1080.0,1140.0,0.8333333333333334,0.16666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,109,18:20,108.46266666666668,112.87578333333332,1080.0,1140.0,0.6666666666666667,0.3333333333333333,False,causal_hourly_interpolation
2025-06-21,12:00,110,18:30,81.6474,75.44999999999999,1080.0,1140.0,0.5,0.5,False,causal_hourly_interpolation
2025-06-21,12:00,111,18:40,54.832133333333346,46.0094,1080.0,1140.0,0.33333333333333337,0.6666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,112,18:50,28.016866666666676,20.306116666666664,1080.0,1140.0,0.16666666666666663,0.8333333333333334,False,causal_hourly_interpolation
2025-06-21,12:00,113,19:00,1.2016,1.29375,1080.0,1140.0,0.0,1.0,False,causal_hourly_interpolation
2025-06-21,12:00,114,19:10,1.0013333333333332,0.0,1140.0,1200.0,0.8333333333333334,0.16666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,115,19:20,0.8010666666666666,0.54365,1140.0,1200.0,0.6666666666666667,0.3333333333333333,False,causal_hourly_interpolation
2025-06-21,12:00,116,19:30,0.6008,0.0,1140.0,1200.0,0.5,0.5,False,causal_hourly_interpolation
2025-06-21,12:00,117,19:40,0.4005333333333333,0.0,1140.0,1200.0,0.33333333333333337,0.6666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,118,19:50,0.20026666666666665,0.03903333333333333,1140.0,1200.0,0.16666666666666663,0.8333333333333334,False,causal_hourly_interpolation
2025-06-21,12:00,119,20:00,0.0,0.0,1140.0,1200.0,0.0,1.0,False,causal_hourly_interpolation
2025-06-21,12:00,120,20:10,0.0,0.0,1200.0,1260.0,0.8333333333333334,0.16666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,121,20:20,0.0,0.0027999999999999995,1200.0,1260.0,0.6666666666666667,0.3333333333333333,False,causal_hourly_interpolation
2025-06-21,12:00,122,20:30,0.0,0.0,1200.0,1260.0,0.5,0.5,False,causal_hourly_interpolation
2025-06-21,12:00,123,20:40,0.0,0.0,1200.0,1260.0,0.33333333333333337,0.6666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,124,20:50,0.0,0.00019999999999999998,1200.0,1260.0,0.16666666666666663,0.8333333333333334,False,causal_hourly_interpolation
2025-06-21,12:00,125,21:00,0.0,0.0,1200.0,1260.0,0.0,1.0,False,causal_hourly_interpolation
2025-06-21,12:00,126,21:10,0.0,0.0,1260.0,1320.0,0.8333333333333334,0.16666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,127,21:20,0.0,0.0,1260.0,1320.0,0.6666666666666667,0.3333333333333333,False,causal_hourly_interpolation
2025-06-21,12:00,128,21:30,0.0,0.0,1260.0,1320.0,0.5,0.5,False,causal_hourly_interpolation
2025-06-21,12:00,129,21:40,0.0,0.0,1260.0,1320.0,0.33333333333333337,0.6666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,130,21:50,0.0,0.0,1260.0,1320.0,0.16666666666666663,0.8333333333333334,False,causal_hourly_interpolation
2025-06-21,12:00,131,22:00,0.0,0.0,1260.0,1320.0,0.0,1.0,False,causal_hourly_interpolation
2025-06-21,12:00,132,22:10,0.0,0.0,1320.0,1380.0,0.8333333333333334,0.16666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,133,22:20,0.0,0.0,1320.0,1380.0,0.6666666666666667,0.3333333333333333,False,causal_hourly_interpolation
2025-06-21,12:00,134,22:30,0.0,0.0,1320.0,1380.0,0.5,0.5,False,causal_hourly_interpolation
2025-06-21,12:00,135,22:40,0.0,0.0,1320.0,1380.0,0.33333333333333337,0.6666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,136,22:50,0.0,0.0,1320.0,1380.0,0.16666666666666663,0.8333333333333334,False,causal_hourly_interpolation
2025-06-21,12:00,137,23:00,0.0,0.0,1320.0,1380.0,0.0,1.0,False,causal_hourly_interpolation
2025-06-21,12:00,138,23:10,0.0,0.0,1380.0,1440.0,0.8333333333333334,0.16666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,139,23:20,0.0,0.0,1380.0,1440.0,0.6666666666666667,0.3333333333333333,False,causal_hourly_interpolation
2025-06-21,12:00,140,23:30,0.0,0.0,1380.0,1440.0,0.5,0.5,False,causal_hourly_interpolation
2025-06-21,12:00,141,23:40,0.0,0.0,1380.0,1440.0,0.33333333333333337,0.6666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,142,23:50,0.0,0.0,1380.0,1440.0,0.16666666666666663,0.8333333333333334,False,causal_hourly_interpolation
2025-06-21,12:00,143,0:00+1,0.0,0.0,1380.0,1440.0,0.0,1.0,False,causal_hourly_interpolation
2025-06-21,18:00,0,00:10,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,1,00:20,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,2,00:30,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,3,00:40,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,4,00:50,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,5,01:00,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,6,01:10,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,7,01:20,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,8,01:30,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,9,01:40,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,10,01:50,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,11,02:00,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,12,02:10,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,13,02:20,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,14,02:30,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,15,02:40,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,16,02:50,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,17,03:00,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,18,03:10,0.00019999999999999998,0.00019999999999999998,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,19,03:20,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,20,03:30,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,21,03:40,0.0026999999999999997,0.0026999999999999997,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,22,03:50,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,23,04:00,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,24,04:10,0.03771666666666666,0.03771666666666666,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,25,04:20,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,26,04:30,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,27,04:40,0.5252666666666667,0.5252666666666667,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,28,04:50,0.0,0.0,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,29,05:00,1.2125,1.2125,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,30,05:10,19.460916666666666,19.460916666666666,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,31,05:20,43.99505,43.99505,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,32,05:30,69.51249999999999,69.51249999999999,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,33,05:40,97.93268333333333,97.93268333333333,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,34,05:50,122.63874999999999,122.63874999999999,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,35,06:00,148.45,148.45,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,36,06:10,189.49256666666668,189.49256666666668,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,37,06:20,242.2338,242.2338,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,38,06:30,294.31874999999997,294.31874999999997,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,39,06:40,337.05043333333333,337.05043333333333,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,40,06:50,391.7487166666666,391.7487166666666,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,41,07:00,449.875,449.875,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,42,07:10,479.10384999999997,479.10384999999997,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,43,07:20,501.0047833333333,501.0047833333333,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,44,07:30,537.4812499999999,537.4812499999999,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,45,07:40,589.5878333333333,589.5878333333333,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,46,07:50,630.8997666666667,630.8997666666667,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,47,08:00,667.2375,667.2375,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,48,08:10,722.4553999999999,722.4553999999999,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,49,08:20,740.3005833333333,740.3005833333333,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,50,08:30,726.4499999999999,726.4499999999999,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,51,08:40,746.6491666666667,746.6491666666667,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,52,08:50,778.0861,778.0861,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,53,09:00,791.0124999999999,791.0124999999999,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,54,09:10,791.1589,791.1589,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,55,09:20,856.5730166666667,856.5730166666667,1080.0,1080.0,1.0,0.0,True,actual_executed
2025-06-21,18:00,56,09:30,965.71875,965.71875,1080.0,1080.0,1.0,0.0,True,actual_executed
