date,period,time,planned_q_kwh,actual_x_kwh,load_kwh,pv_kwh,charge_kwh,discharge_kwh,curtailment_kwh,emergency_kwh,soc_kwh,posterior_entropy,posterior_bandwidth,solve_seconds,virtual_next_day_value_yuan,balance_residual_kwh
2025-02-01,42,07:10,22.67655833333322,22.67655833333322,617.2140499999999,102.656,0.0,491.88149166666665,0.0,0.0,4661.983859796203,1.7876200399999436,3.410131108421348,0.013882709026802331,51413.03836917748,-1.1368683772161603e-13
2025-02-01,43,07:20,4.937419047619073,4.937419047619073,595.3964666666666,147.48791666666665,0.0,442.97113095238086,0.0,0.0,4195.051289292792,1.78669973739516,3.4318921494008463,0.014401459018699825,51411.79112235638,0.0
2025-02-01,44,07:30,23.480773809523782,23.480773809523782,579.5366666666666,190.11249999999998,0.0,365.9433928571429,0.0,0.0,3809.313083920004,1.786663362626972,3.455479133612015,0.014174042036756873,51410.677180541905,0.0
2025-02-01,45,07:40,0.0,0.0,609.0003666666667,231.34661666666665,0.0,377.65375,0.0,0.0,3411.2310782853992,1.7867267109087543,3.4925727710871466,0.013794041995424777,51411.291521435465,0.0
2025-02-01,46,07:50,0.0,0.0,640.2366833333333,279.07533333333333,0.0,361.16134999999997,0.0,0.0,3030.533588678315,1.7873695302895332,3.584550338515716,0.013890040980186313,51414.87993738365,0.0
2025-02-01,47,08:00,0.0,0.0,633.9416666666666,334.01874999999995,0.0,299.92291666666665,0.0,0.0,2714.3870756291344,1.7899172638476877,3.811053147967832,0.013509333017282188,51421.770137998596,0.0
2025-02-01,48,08:10,0.0,0.0,590.91065,388.6844166666666,0.0,202.22623333333343,0.0,0.0,2501.221908972468,1.795642812274409,4.12398720660127,0.01322966703446582,51425.96859290054,0.0
2025-02-01,49,08:20,0.0,0.0,568.5581666666667,438.7655666666667,0.0,129.7926,0.0,0.0,2364.408495827411,1.7955984698729948,4.274019022976094,0.013323582999873906,51427.71580321002,0.0
2025-02-01,50,08:30,13.217123015872971,13.217123015872971,574.2283333333332,487.94374999999997,0.0,73.0674603174603,0.0,0.0,2287.3886300116965,1.794512929908122,4.396416147539226,0.013550041010603309,51429.003582080426,0.0
2025-02-01,51,08:40,29.699130952380983,29.699130952380983,577.8523166666666,541.8831666666666,0.0,6.27001904761903,0.0,0.0,2280.7794496239912,1.793174306534278,4.493927238284423,0.03464195900596678,51430.55998780193,0.0
