date,normal_purchase_cost_yuan,emergency_cost_yuan,total_cost_yuan,normal_purchase_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,max_simultaneous_cd_kwh2,solve_seconds,pass
2025-03-29,13822.871561448577,0.0,13822.871561448577,27654.526612789137,0.0,18564.543037461186,1200.0,1200.0,1200.0,10800.0,5.684341886080802e-14,0.0,0.004462041018996388,True
2025-03-30,34160.80281319296,0.0,34160.80281319296,57458.64955435961,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004644416010705754,True
2025-03-31,35125.27700581826,0.0,35125.27700581826,58977.06623458721,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004675875010434538,True
2025-04-01,36708.32162039733,0.0,36708.32162039733,62242.37168458721,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0047546669957228005,True
2025-04-02,36793.72424345665,0.0,36793.72424345665,62581.722353105724,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004790375009179115,True
2025-04-03,34590.065633249265,0.0,34590.065633249265,57958.56678213739,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0048498329997528344,True
2025-04-04,12913.460874732838,0.0,12913.460874732838,26475.471272048402,0.0,18675.65017079452,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004307500028517097,True
2025-04-05,13254.769111172467,0.0,13254.769111172467,26850.98459241877,0.0,13471.539820794518,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0044278340064920485,True
2025-04-06,33596.38887123436,0.0,33596.38887123436,56474.71991236499,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.2789769243681803e-13,0.0,0.004648625006666407,True
2025-04-07,32766.079914219554,0.0,32766.079914219554,55220.65066236499,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004602500004693866,True
2025-04-08,33864.62814307455,0.0,33864.62814307455,56441.12325806331,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004721499979496002,True
2025-04-09,35946.148247057696,0.0,35946.148247057696,61238.82784755017,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004668874986236915,True
2025-04-10,33845.55160408344,0.0,33845.55160408344,56525.667712364986,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004648791014915332,True
2025-04-11,12711.14111488228,0.0,12711.14111488228,26193.18471093729,0.0,19541.74688746118,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004417624993948266,True
2025-04-12,12464.837985895163,0.0,12464.837985895163,25545.245822048397,0.0,15243.04690412785,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004481625015614554,True
2025-04-13,33395.04192836566,0.0,33395.04192836566,56291.721851253875,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.0046525829820893705,True
2025-04-14,32113.551920246406,0.0,32113.551920246406,54514.933649402024,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004591292003169656,True
2025-04-15,31443.24978227535,0.0,31443.24978227535,52018.140453105734,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004572792007820681,True
2025-04-16,33893.24006513863,0.0,33893.24006513863,57754.89462903165,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0047264579916372895,True
2025-04-17,32720.219121765476,0.0,32720.219121765476,54815.649995698324,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004548625001916662,True
2025-04-18,11907.386194520717,0.0,11907.386194520717,24971.31546093729,0.0,17336.281054127852,1200.0,1200.0,1200.0,10800.0,5.684341886080802e-14,0.0,0.00426699998206459,True
2025-04-19,11832.100261699055,0.0,11832.100261699055,24926.14152945581,0.0,16852.540620794516,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004555415973300114,True
2025-04-20,31821.620109776126,0.0,31821.620109776126,53950.589921624254,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004675749980378896,True
2025-04-21,30349.417131544065,0.0,30349.417131544065,50800.58101834469,0.0,431.4373041278533,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004646500019589439,True
2025-04-22,31839.437031023997,0.0,31839.437031023997,54055.55119755017,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004705375002231449,True
2025-04-23,31296.77006307594,0.0,31296.77006307594,53268.086197550176,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004541083006188273,True
2025-04-24,29897.659187725734,0.0,29897.659187725734,49757.867201678026,0.0,829.170854127851,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.00453483298770152,True
2025-04-25,11425.814181846183,0.0,11425.814181846183,24105.718754455807,0.0,20866.18593746118,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004426874977070838,True
2025-04-26,11801.670180317757,0.0,11801.670180317757,24595.162294270624,0.0,23296.25072079452,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004486207995796576,True
2025-04-27,30868.43723033055,0.0,30868.43723033055,51372.374790566915,0.0,896.276187461187,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004876874998444691,True
2025-04-28,34066.89536885603,0.0,34066.89536885603,58588.675806809435,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0048430000024382025,True
2025-04-29,30295.782635919997,0.0,30295.782635919997,49845.23377760396,0.0,687.9972874611842,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004668707988457754,True
2025-04-30,29645.82382486442,0.0,29645.82382486442,50023.68272532795,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004748749983264133,True
2025-05-01,33472.73943160925,0.0,33472.73943160925,54059.235427603955,0.0,1138.2466207945185,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.00481787501485087,True
2025-05-02,14474.68089606291,0.0,14474.68089606291,27983.6975220484,0.0,12402.627504127853,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0044502920063678175,True
2025-05-03,13876.121997191984,0.0,13876.121997191984,27086.55156464099,0.0,16967.946087461183,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0045990409853402525,True
2025-05-04,32798.25827285756,0.0,32798.25827285756,53458.93784755018,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004657792014768347,True
2025-05-05,34397.19299137547,0.0,34397.19299137547,57075.31966792054,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004641791980247945,True
2025-05-06,33342.844243600906,0.0,33342.844243600906,54836.365110513136,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.00465783299296163,True
2025-05-07,34883.07180596361,0.0,34883.07180596361,56987.88161051314,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.00467525000567548,True
2025-05-08,34748.0903307601,0.0,34748.0903307601,57703.24699014277,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004785375000210479,True
2025-05-09,13597.540434540502,0.0,13597.540434540502,26695.22957945581,0.0,16931.883370794516,1200.0,1200.0,1200.0,10800.0,5.684341886080802e-14,0.0,0.004597167018800974,True
