date,day_index,soc_start_kwh,soc_end_kwh
2025-04-14,103,8266.725545988002,6827.51846679298
2025-04-15,104,6827.51846679298,7570.31334858861
2025-04-16,105,7570.31334858861,6648.424641936552
2025-04-17,106,6648.424641936552,2280.101739932144
2025-04-18,107,2280.101739932144,4736.186488149963
2025-04-19,108,4736.186488149963,10174.821396011754
2025-04-20,109,10174.821396011754,6142.895677442321
2025-04-21,110,6142.895677442321,5303.303190291228
2025-04-22,111,5303.303190291228,8359.6796713218
2025-04-23,112,8359.6796713218,7197.509143990277
2025-04-24,113,7197.509143990277,2216.8382233115067
2025-04-25,114,2216.8382233115067,5427.682115442166
2025-04-26,115,5427.682115442166,10278.177764600252
2025-04-27,116,10278.177764600252,5814.110405511739
2025-04-28,117,5814.110405511739,6679.20484062318
2025-04-29,118,6679.20484062318,9118.510912092614
2025-04-30,119,9118.510912092614,9034.45292595202
2025-05-01,120,9034.45292595202,2668.8401833666826
2025-05-02,121,2668.8401833666826,6690.968836020682
2025-05-03,122,6690.968836020682,9383.818626731509
2025-05-04,123,9383.818626731509,5101.869153184229
2025-05-05,124,5101.869153184229,4914.086087355111
2025-05-06,125,4914.086087355111,5360.078165190028
2025-05-07,126,5360.078165190028,7885.63768849394
2025-05-08,127,7885.63768849394,1909.6696559368572
2025-05-09,128,1909.6696559368572,3605.616381173361
2025-05-10,129,3605.616381173361,9194.91506246769
2025-05-11,130,9194.91506246769,4885.001003260768
2025-05-12,131,4885.001003260768,6700.680773019619
2025-05-13,132,6700.680773019619,6470.711954475601
2025-05-14,133,6470.711954475601,5622.193447017606
2025-05-15,134,5622.193447017606,2017.7571039447728
2025-05-16,135,2017.7571039447728,2807.585930633318
2025-05-17,136,2807.585930633318,9113.942865157664
2025-05-18,137,9113.942865157664,2658.6813076395533
2025-05-19,138,2658.6813076395533,3829.991552961637
2025-05-20,139,3829.991552961637,2367.927105438121
2025-05-21,140,2367.927105438121,3048.474987995006
2025-05-22,141,3048.474987995006,3403.4193560634203
2025-05-23,142,3403.4193560634203,4585.62349518086
2025-05-24,143,4585.62349518086,10484.524529355662
2025-05-25,144,10484.524529355662,4562.688727693554
2025-05-26,145,4562.688727693554,2805.9691667361903
2025-05-27,146,2805.9691667361903,4671.62932664902
2025-05-28,147,4671.62932664902,3686.755632283892
2025-05-29,148,3686.755632283892,3214.1180799697017
2025-05-30,149,3214.1180799697017,3413.65242164558
2025-05-31,150,3413.65242164558,10077.214445631576
2025-06-01,151,10077.214445631576,2282.9583800101886
2025-06-02,152,2282.9583800101886,1200.0000000527002
2025-06-03,153,1200.0000000527002,2782.541129159659
2025-06-04,154,2782.541129159659,1313.8957907725785
2025-06-05,155,1313.8957907725785,1200.0
2025-06-06,156,1200.0,1270.646328441056
2025-06-07,157,1270.646328441056,8107.038633434272
2025-06-08,158,8107.038633434272,2593.235095830915
2025-06-09,159,2593.235095830915,1654.3879647416013
2025-06-10,160,1654.3879647416013,1670.667571334894
2025-06-11,161,1670.667571334894,1686.753098791984
2025-06-12,162,1686.753098791984,1632.3097654530218
2025-06-13,163,1632.3097654530218,2598.8006725191035
2025-06-14,164,2598.8006725191035,8142.393308846216
2025-06-15,165,8142.393308846216,4234.7044542576095
2025-06-16,166,4234.7044542576095,5620.796603027568
2025-06-17,167,5620.796603027568,3630.3787260747354
2025-06-18,168,3630.3787260747354,3527.965046169088
2025-06-19,169,3527.965046169088,3995.2553418703264
2025-06-20,170,3995.2553418703264,4060.831271271632
2025-06-21,171,4060.831271271632,8920.997775626602
2025-06-22,172,8920.997775626602,4418.778725916674
2025-06-23,173,4418.778725916674,4310.004372134119
2025-06-24,174,4310.004372134119,4894.250546156436
2025-06-25,175,4894.250546156436,4292.3089269558495
2025-06-26,176,4292.3089269558495,3914.936164261132
2025-06-27,177,3914.936164261132,4540.204345609453
2025-06-28,178,4540.204345609453,10799.999999789488
2025-06-29,179,10799.999999789488,5509.5577480916045
2025-06-30,180,5509.5577480916045,5225.690412165319
2025-07-01,181,5225.690412165319,1353.4663710406976
2025-07-02,182,1353.4663710406976,1240.6823268562484
