calibration_date,calibration_day_index,risk_alpha,k_target,validation_days,mean_validation_cost_yuan,standard_error_yuan,total_planned_fee_yuan,total_emergency_fee_yuan,total_cost_yuan,total_unused_quota_kwh,emergency_purchase_kwh,soc_window_start_kwh,soc_window_end_kwh,daily_soc_end_path_kwh,all_value_cuts_present,no_future_info,used_full_day_actual_scheduler,mean_elapsed_seconds,mean_solve_seconds,policy_loop,fallback_reason
2025-04-09,98,0.6,12,14,36450.13048634881,4058.7722943885133,398780.97065753525,111520.85615134807,510301.82680888334,23313.698425831302,34161.09190372129,7256.396056761127,5717.695058555448,5416.012369;2279.428183;6183.593226;10114.570483;5106.267546;4877.294983;4575.339193;6551.088777;2134.056137;6204.341795;10445.398372;6354.218136;6012.000751;5717.695059,True,True,False,6.277574047427541,6.277574047427541,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-04-23,112,0.6,4,14,32288.94666953895,3596.6464249481105,373553.52246541664,78491.73090812865,452045.2533735453,12065.905786478912,26305.933380408547,5225.403611142893,7103.0241680886575,6813.635107;2261.829292;5006.682599;10563.047718;8280.161535;6601.912875;7678.766037;6595.504771;2340.714079;4073.666195;10709.370847;7059.464377;5193.281496;7103.024168,True,True,False,4.891188123499887,4.891188123499887,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-04-23,112,0.6,8,14,32028.580921999182,3565.3745174021706,375206.1579777841,73193.97493020438,448400.13290798856,15235.986984415624,22967.2669437617,5225.403611142893,8359.6796713218,8145.070126;2254.739160;6245.564209;10673.591783;8266.725546;6827.518467;7570.313349;6648.424642;2280.101740;4736.186488;10174.821396;6142.895677;5303.303190;8359.679671,True,True,False,5.6219666687866265,5.6219666687866265,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-04-23,112,0.6,12,14,31777.24901345063,3553.3735959129276,374745.60772149876,70135.87846681007,444881.4861883088,15399.289575648845,21892.8076331784,5225.403611142893,7807.618663635678,7571.330515;2246.432933;6354.906443;10686.482054;8209.330400;5880.176538;6833.529153;5883.915168;2289.103856;4246.344787;9909.314261;4651.327891;5135.835088;7807.618664,True,True,False,6.786251090642638,6.786251090642638,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-05-07,126,0.6,4,14,37552.53835058274,3872.529321693811,353898.4266822755,171837.11022588288,525735.5369081583,12806.827673834432,45897.30513963602,8359.6796713218,4580.377198317174,6388.676274;2227.157158;7644.994676;10454.156680;5082.831117;5849.888881;9129.908398;7942.019550;1918.725629;5320.216708;10075.006543;4832.953749;4363.957594;4580.377198,True,True,False,4.754103365643199,4.754103365643199,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-05-07,126,0.6,8,14,36575.3530138567,3715.0093210763225,355769.92403702065,156285.01815697312,512054.9421939938,12181.033790879615,40370.88452556977,8359.6796713218,5360.078165190028,7197.509144;2216.838223;5427.682115;10278.177765;5814.110406;6679.204841;9118.510912;9034.452926;2668.840183;6690.968836;9383.818627;5101.869153;4914.086087;5360.078165,True,True,False,5.4463542517140535,5.4463542517140535,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-05-07,126,0.6,12,14,36274.075041635006,3721.2700048385177,360244.22112119425,147592.8294616959,507837.05058289005,13582.02790405947,38562.084470738904,8359.6796713218,5815.9277025823685,6948.294764;2197.198318;5845.812204;10252.090267;4320.486314;5620.679083;8313.006854;7597.331529;1927.747053;7504.538626;9795.458780;5468.697107;5136.551016;5815.927703,True,True,False,6.666404967572037,6.666404967572037,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-05-21,140,0.6,4,14,35117.83452105227,3559.2666736171705,395003.5592814118,96646.12401331995,491649.6832947318,16705.657137011236,25568.013800057644,5360.078165190028,3262.7291992115997,9205.465815;2661.498114;2538.251796;7752.143204;5764.644697;6413.157602;5893.598530;5849.708978;2789.367732;2970.302046;9161.286340;2849.338521;3585.069328;3262.729199,True,True,False,4.629786577572044,4.629786577572044,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-05-21,140,0.6,8,14,34906.06507145109,3305.950784789745,388096.0176858387,100588.89331447655,488684.9110003153,15820.55790767495,25919.34982766845,5360.078165190028,2367.9271054381215,7885.637688;1909.669656;3605.616381;9194.915062;4885.001003;6700.680773;6470.711954;5622.193447;2017.757104;2807.585931;9113.942865;2658.681308;3829.991553;2367.927105,True,True,False,5.508595292713186,5.508595292713186,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-05-21,140,0.6,12,14,34903.56952105446,3452.848436305445,394531.36229487736,94118.61099988513,488649.9732947624,20780.62009069999,23291.16803028653,5360.078165190028,2444.63616647853,7767.154774;2039.943285;3619.519377;8630.572433;4263.635420;6610.822017;6582.818442;5770.195253;2474.235957;2363.560574;8927.041343;2491.500416;3771.958604;2444.636166,True,True,False,6.232347384212127,6.232347384212127,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
