date,n_adjusted_periods,normal_cost_yuan,emergency_cost_yuan,adjustment_delivery_yuan,adjustment_update_clock_yuan,total_delivery_yuan,total_update_clock_yuan,adjustment_gap_yuan,ledger_matches_delivery
2025-02-20,42,47502.592495392375,1466.239756352305,1358.8043647342113,1558.031312325751,50327.63661647889,50526.86356407043,199.22694759153978,True
2025-02-21,15,15209.958487127278,877.9763756300522,77.49638960077579,59.17674616802052,16165.431252358107,16147.111608925352,-18.319643432755264,True
2025-02-22,11,16195.315473156246,1438.7125802534106,108.78273683167446,104.84169844442359,17742.810790241332,17738.86975185408,-3.9410383872508703,True
2025-02-23,37,46658.98943560502,3961.992111056514,1325.1756427355467,1122.5652162679924,51946.15718939708,51743.54676292953,-202.61042646755436,True
2025-02-24,9,48428.762591450606,2385.653195868551,194.8641080089268,273.2076859874614,51009.27989532809,51087.623473306616,78.3435779785346,True
2025-02-25,39,44536.57003040226,3107.8415316575047,2332.2930810193766,2370.5389419542353,49976.70464307915,50014.950504014,38.24586093485868,True
2025-02-26,36,45872.30566155593,2964.8217163203567,1007.7643574493475,1024.8305337516904,49844.891735325655,49861.957911627986,17.06617630234291,True
2025-02-27,37,42672.782833160294,2205.239665471274,597.5455682904798,600.77317524948,45475.568066922046,45478.795673881046,3.2276069590002407,True
2025-02-28,10,14674.41917601753,1287.8017175575546,114.9516593473806,84.23082362859448,16077.172552922466,16046.451717203681,-30.72083571878612,True
2025-03-01,6,15079.564278621998,1355.153213493296,197.39213329247826,418.9319800252394,16632.10962540777,16853.649472140532,221.53984673276113,True
2025-03-02,36,50533.23966363116,2461.1721105701413,1107.7938597019663,1023.1531360403558,54102.205633903264,54017.56491024166,-84.64072366161054,True
2025-03-03,39,48384.3141604992,3391.6182451030445,2373.399634696534,2340.796114418149,54149.33204029878,54116.72852002039,-32.603520278385076,True
2025-03-04,22,48566.21250931728,3657.230327354677,681.9870082064017,713.6368098259774,52905.42984487837,52937.079646497936,31.64980161957567,True
2025-03-05,38,44952.35871545192,4261.343818731704,1785.6620783197927,1553.20478143145,50999.36461250342,50766.90731561508,-232.45729688834263,True
2025-03-06,17,41548.5189386644,1889.8586299685887,287.7493895080459,344.75027863746607,43726.12695814103,43783.12784727045,57.00088912942016,True
2025-03-07,10,14549.13480741364,1960.743105302185,105.43143194165,43.41403839860243,16615.30934465748,16553.29195111443,-62.017393543047575,True
2025-03-08,8,14240.482689589786,312.1545197997333,121.39696539416208,142.5159157449757,14674.034174783681,14695.153125134495,21.11895035081362,True
2025-03-09,35,40206.712934274256,1684.6439593445532,2016.3261754168493,2195.001110045979,43907.68306903566,44086.35800366479,178.6749346291299,True
2025-03-10,24,45449.902558235306,3326.011266702592,510.81004963204595,563.6164348110981,49286.72387456995,49339.530259749,52.80638517905214,True
2025-03-11,17,43035.79170761773,2517.26144542331,1802.512431547882,2726.414330181315,47355.56558458893,48279.46748322236,923.9018986334331,True
2025-03-12,37,41163.50177803407,1806.5186767399723,1864.813628174772,2064.0486476560895,44834.83408294881,45034.06910243012,199.23501948131752,True
