date,day_index,strategy,load_information_case,year_end_boundary,year_end_soc_kwh,settlement_rule,price_mode,normal_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,g0_kwh,g_final_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,adjustment_count,locked_period_violations,max_balance_residual_kwh,max_simultaneous_cd_kwh2,runtime_seconds,max_x_minus_g_kwh,pass
2025-04-03,92,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,32794.31425566492,1829.7545044381864,2143.5575463197183,36767.626306422826,59385.78152397606,53637.21759084641,702.813084205912,835.4490898347899,7673.405040531963,1990.569414749963,3,0,1.1368683772161603e-13,0.0,4.572109596003429,0.0,True
2025-04-04,93,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,11094.302776266775,21.581275840888992,1172.636022564707,12288.520074672373,31192.012754763367,31221.48919839754,502.5719780869975,18682.900495776103,1990.569414749963,6295.845616858047,3,0,1.1368683772161603e-13,0.0,4.848251827002969,0.0,True
2025-04-05,94,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,11618.143003069337,93.28238055552414,5193.847123354494,16905.272506979356,31373.04273245696,31668.56692707781,2257.613539613411,15062.381900887107,6295.845616858047,10592.800237121335,3,0,1.1368683772161603e-13,0.0,5.08528052001202,0.0,True
2025-04-06,95,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,32175.17781616363,1454.7759210572926,2534.043239544052,36163.99697676497,56915.725555791294,53404.42901992,772.7937740836494,1020.4261254629605,10592.800237121335,5948.410488637206,3,0,1.1368683772161603e-13,0.0,4.959884266994777,0.0,True
2025-04-07,96,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,31827.806475700654,687.5455911997399,2196.6721217045683,34712.02418860496,52126.41793428433,54057.232136600556,645.7602926474805,303.8447361111092,5948.410488637206,4481.357661635144,3,0,1.1368683772161603e-13,0.0,5.104846566988272,0.0,True
2025-04-08,97,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,34780.59639808435,1437.161480748239,4246.682278020024,40464.440156852615,65370.65976864081,60276.836196147444,1028.6182973771047,859.3172200617279,4481.357661635144,7371.716613851601,3,0,1.1368683772161603e-13,0.0,4.341464579993044,0.0,True
2025-04-09,98,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,35696.87599709292,441.3630495848147,3548.3988808979057,39686.63792757563,59860.429074240215,61024.515273478115,930.5438905049525,828.1615645937867,7371.716613851601,6248.977469877036,3,0,1.4210854715202004e-13,0.0,5.087767927994719,0.0,True
2025-04-10,99,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,31836.51184285597,1101.6646945011273,4095.5725433886155,37033.749080745714,54976.4237086778,53637.11914089376,1066.8078537726878,167.44484043269546,6248.977469877036,2137.8818851615665,3,0,1.1368683772161603e-13,0.0,4.67583725899749,0.0,True
2025-04-11,100,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,10424.115221469014,127.66273054811606,3426.129713103813,13977.907665120945,29408.265492780087,29816.66930556521,1336.5808473822015,19730.53816523896,2137.8818851615665,5699.220009305792,3,0,1.1368683772161603e-13,0.0,5.136167372009368,0.0,True
2025-04-12,101,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,10691.00668209142,198.54607182602768,939.0487612089046,11828.601515126353,30824.32262236027,30326.772985081305,434.6887410445838,15565.279808726315,5699.220009305792,9302.378922750428,3,0,1.1368683772161603e-13,0.0,4.8983586429967545,0.0,True
