date,day_index,strategy,load_information_case,year_end_boundary,year_end_soc_kwh,settlement_rule,normal_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,g0_kwh,g_final_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,adjustment_count,locked_period_violations,max_balance_residual_kwh,max_simultaneous_cd_kwh2,runtime_seconds,max_x_minus_g_kwh,pass
2025-08-29,240,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,22083.703644519726,266.83207214709176,1042.594470646071,23393.13018731289,41485.6199430974,40729.80886801994,322.5888856837247,14986.315512461184,1726.90785759869,2054.0570761081053,3,0,1.1368683772161603e-13,0.0,5.803579610001179,0.0,True
2025-08-30,241,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,25735.49402296006,220.009183594067,2107.1744044024936,28062.677610956624,49256.03909698817,48519.136967967686,699.380977461471,19364.945915084034,2054.0570761081053,10550.857158898189,3,0,1.1368683772161603e-13,0.0,4.99456285800261,0.0,True
2025-08-31,242,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,47348.35894805333,875.6459341923899,4394.122333978263,52618.12721622398,59556.88620295022,62504.141231478556,953.7221101352153,1154.3637550359877,10550.857158898189,1944.009127975814,3,0,2.2737367544323206e-13,0.0,4.676751512000919,0.0,True
2025-09-01,243,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,45901.26225666878,1850.614359308788,10.442528701475707,47762.31914467904,77717.35764013964,71042.4164134296,5.775734773634046,3572.560042172601,1944.009127975814,5501.820623339466,3,0,1.1368683772161603e-13,0.0,4.96212180799921,0.0,True
2025-09-02,244,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,43426.89368233929,897.7478827273833,56.53621376971207,44381.17777883639,64077.526917925454,66403.64058827337,19.51206685399933,2488.80639863379,5501.820623339466,5542.477950739504,3,0,4.772573447553441e-10,0.0,5.0786423440004,0.0,True
2025-09-03,245,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,45718.184407948815,896.5932700675323,2.860998704423589e-07,46614.777678302446,69187.16825286964,67191.81538384498,1.2939740292559642e-07,2641.1188666666694,5542.477950739504,5116.774213708723,3,0,1.1368683772161603e-13,0.0,4.657227863994194,0.0,True
2025-09-04,246,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,44035.116418781996,724.407049009267,431.76270747911894,45191.28617527038,67175.84212041048,64685.848071927896,227.10678325681297,2095.905726070009,5116.774213708723,5408.810684216274,3,0,1.1368683772161603e-13,0.0,4.663915591998375,0.0,True
2025-09-05,247,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,17141.560497887986,398.3124691637337,5.997538590262665,17545.870505641982,35985.19216335623,35028.8762702544,3.3599655372236623,21297.251114520303,5408.810684216274,5314.4169864753185,3,0,1.1368683772161603e-13,0.0,5.214231197001936,0.0,True
2025-09-06,248,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,20051.722928327523,224.0741648504256,60.52470744834644,20336.321800626294,43507.205391341966,43109.20041783682,27.201687525363354,20830.50146267683,5314.4169864753185,10160.503129353956,3,0,1.1368683772161603e-13,0.0,4.402716160002456,0.0,True
2025-09-07,249,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,43051.89010112391,1182.9079348343917,84.46770841942984,44319.26574437772,59241.46537352131,62957.112096351855,35.640383317774656,1721.201443209873,10160.503129353956,5420.667338245975,3,0,1.1368683772161603e-13,0.0,4.505298058000335,0.0,True
