calibration_date,risk_alpha,k_target,validation_days,mean_validation_cost_yuan,standard_error_yuan,total_planned_fee_yuan,total_emergency_fee_yuan,total_cost_yuan,total_unused_quota_kwh,emergency_purchase_kwh,soc_window_start_kwh,soc_window_end_kwh,daily_soc_end_path_kwh,all_value_cuts_present,no_future_info,used_full_day_actual_scheduler,mean_elapsed_seconds,mean_solve_seconds,policy_loop,fallback_reason,selected
2025-04-09,0.8,8,14,37473.57054453529,4034.3588037336663,405084.83008135494,119545.15754213897,524629.987623494,32648.858118951706,36991.81275045227,7256.3960567611275,5200.361251943652,5366.365728;2271.790398;5778.702750;10114.024528;5671.036051;4301.652770;3973.803541;7658.012551;2129.577500;6543.883504;10447.079252;7915.425836;5285.165053;5200.361252,True,True,False,5.326867428215337,5.326867428215337,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-04-09,0.9,8,14,37861.85928519866,4028.616022261782,410058.8137048717,120007.21628790963,530066.0299927812,36170.62400496631,37534.11174463122,7256.3960567611275,5158.514983245231,5366.365728;2271.790398;5705.118515;10185.661077;5671.036052;4311.368819;3981.218872;7658.012551;2129.577500;6567.393721;10483.615899;7915.425836;5260.910277;5158.514983,True,True,False,5.3472765539970295,5.3472765539970295,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-04-23,0.6,8,14,32028.580921999182,3565.3745174021706,375206.1579777841,73193.97493020438,448400.13290798856,15235.986984415624,22967.2669437617,5225.403611142893,8359.6796713218,8145.070126;2254.739160;6245.564209;10673.591783;8266.725546;6827.518467;7570.313349;6648.424642;2280.101740;4736.186488;10174.821396;6142.895677;5303.303190;8359.679671,True,True,False,5.635569364644263,5.635569364644263,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,True
2025-04-23,0.7,8,14,32197.612084641576,3602.074535287577,378107.4569929358,72659.11219204622,450766.56918498204,17254.527555102995,22739.50277184582,5225.403611142893,8359.679671312619,8145.070126;2254.739160;6178.625360;10670.848942;8266.725546;6827.272375;7570.313349;6648.424642;2280.101740;4785.759004;10181.478430;6142.895677;4918.089857;8359.679671,True,True,False,5.614792440142732,5.614792440142732,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-04-23,0.8,8,14,32729.49127035186,3556.877710918999,383868.2728929055,74344.60489202048,458212.87778492604,22751.914914203975,23693.692141073036,5225.403611142893,8356.311082704151,8145.724253;2254.739160;6042.505189;10683.556926;8266.725546;6848.091448;7570.313348;6649.744710;2273.174009;4759.814302;10195.741180;6138.483506;4875.734440;8356.311083,True,True,False,5.57140132128656,5.57140132128656,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-04-23,0.9,8,14,33429.6110294125,3518.5068655117507,396508.6135481377,71505.94086363736,468014.5544117751,33898.47800199316,22924.84136358191,5225.403611142893,8359.743108170898,8146.089832;2254.739160;5918.931784;10702.379941;8266.725546;6871.508765;7593.979292;6660.312441;2223.934324;4768.171730;10195.741180;6138.483506;4690.999271;8359.743108,True,True,False,5.540379809784229,5.540379809784229,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-05-07,0.6,8,14,36575.3530138567,3715.0093210763225,355769.92403702065,156285.01815697312,512054.9421939938,12181.033790879615,40370.88452556977,8359.6796713218,5360.078165190028,7197.509144;2216.838223;5427.682115;10278.177765;5814.110406;6679.204841;9118.510912;9034.452926;2668.840183;6690.968836;9383.818627;5101.869153;4914.086087;5360.078165,True,True,False,5.44949616507178,5.44949616507178,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,True
2025-05-07,0.7,8,14,36649.757067737984,3668.9412632219182,361250.2908660923,151846.30808223944,513096.5989483318,15254.817770952219,39590.11461197592,8359.6796713218,5052.901148554677,7148.491125;2214.771770;5442.979898;10278.177765;5815.292023;6679.204841;9119.044664;9019.424210;2668.840183;6633.054087;9380.185412;5026.291444;4856.127596;5052.901149,True,True,False,5.437237887357436,5.437237887357436,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-05-07,0.8,8,14,36852.21493723032,3553.6598606290645,370961.7430689676,144969.2660522568,515931.0091212244,21738.309274831296,37866.80371956805,8359.6796713218,4633.9062262834,7141.677470;2217.421496;5442.979898;10278.177765;5877.010511;6623.404424;9121.703188;9027.978832;2668.840183;6529.878226;9287.342621;4820.443115;4822.222186;4633.906226,True,True,False,5.390846761143101,5.390846761143101,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-05-07,0.9,8,14,37697.894506894925,3613.603151527439,391906.28519635164,135864.2379001774,527770.523096529,37957.51897502409,35144.19638618173,8359.6796713218,4553.899441061769,7067.048226;2217.421496;5480.099767;10210.654560;5879.981712;5928.967454;9130.250027;9040.864974;2668.840183;6264.483707;8578.754906;4831.304379;4877.450277;4553.899441,True,True,False,5.44212794242776,5.44212794242776,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-05-21,0.6,8,14,34906.06507145109,3305.950784789745,388096.0176858387,100588.89331447655,488684.9110003153,15820.55790767495,25919.34982766845,5360.078165190028,2367.9271054381215,7885.637688;1909.669656;3605.616381;9194.915062;4885.001003;6700.680773;6470.711954;5622.193447;2017.757104;2807.585931;9113.942865;2658.681308;3829.991553;2367.927105,True,True,False,5.496554979426686,5.496554979426686,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,True
2025-05-21,0.7,8,14,35224.090526713895,3297.415728840401,394864.1837229164,98273.08365107818,493137.2673739946,20729.13409265805,25607.18656077818,5360.078165190028,2411.559033327095,7542.484772;1909.669656;3634.868977;9194.915062;4646.375048;6595.767764;6550.447487;5617.263456;2017.757104;2787.936116;9091.677233;2661.030542;3822.778256;2411.559033,True,True,False,5.4331712159265795,5.4331712159265795,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-05-21,0.8,8,14,36040.24570620233,3276.824646184935,404356.7953833401,100206.64450349257,504563.43988683267,27001.034291680437,25869.83496916068,5360.078165190028,2410.1881426455266,7124.077032;1909.669656;3651.273044;9194.915062;4563.005592;6371.992678;6212.213754;5617.263456;2017.757104;2786.234842;9090.136539;2675.647626;3702.792841;2410.188143,True,True,False,5.391908075216634,5.391908075216634,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-05-21,0.9,8,14,37188.00140965492,3338.665296001318,418432.9523371551,102199.06739801381,520632.01973516884,37258.71304876099,26867.205693136693,5360.078165190028,2410.9512307898012,6936.889350;1909.669656;3593.779469;9194.915062;4193.826628;5988.806798;6056.390451;5617.263456;2011.053695;2788.584076;9073.895807;2678.773526;3165.255108;2410.951231,True,True,False,5.431829900285395,5.431829900285395,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-06-04,0.6,8,14,42706.392805412,6969.741428558671,421969.71003201406,175919.78924375397,597889.499275768,23548.87269893266,46657.03272120687,2367.9271054381215,2782.541129159659,3048.474988;3403.419356;4585.623495;10484.524529;4562.688728;2805.969167;4671.629327;3686.755632;3214.118080;3413.652422;10077.214446;2282.958380;1200.000000;2782.541129,True,True,False,5.495862616860125,5.495862616860125,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,True
2025-06-04,0.7,8,14,43066.0743773002,6970.939875943603,427316.98167052626,175608.05961167658,602925.0412822028,27156.00080674363,46435.900627523864,2367.9271054381215,2791.6161852761566,3043.197223;3403.419356;4761.498141;10484.524529;4597.009045;2805.969167;4672.734934;3647.173626;3215.728991;3413.652422;10068.003680;2282.958380;1200.000000;2791.616185,True,True,False,5.489551050140498,5.489551050140498,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-06-04,0.8,8,14,43820.22479646584,7047.044548782985,436796.54499009484,176686.60216042682,613483.1471505217,33261.60941952,46697.54723192345,2367.9271054381215,2730.7995152611566,3035.764320;3405.820208;4733.383645;10478.170379;4668.421507;2821.968610;4795.959585;3323.522596;3235.534769;3413.652421;10093.634731;2282.958380;1200.000000;2730.799515,True,True,False,5.3950631534992555,5.3950631534992555,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-06-04,0.9,8,14,44359.12231071437,6933.106199544233,447577.93511594704,173449.77723405403,621027.7123500011,41038.19022732968,46115.43832572051,2367.9271054381215,2702.027194133916,3044.141588;3405.820208;4757.342925;10475.180082;4648.440535;2825.345438;4836.963924;3237.723073;3292.094453;3428.110217;10110.603706;2282.958380;1200.000000;2702.027194,True,True,False,5.330076642212849,5.330076642212849,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
