date,period_index,time_label,q_or_g0_kwh,g_final_kwh,x_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,actual_load_kwh,actual_pv_kwh,actual_price,price_forecast_used,last_update_time,balance_residual_kwh,normal_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan
2025-09-07,31,05:20,1459.126372222222,1459.126372222222,1260.1323924491808,0.0,624.9127424491808,0.0,0.0,6997.089369711302,7589.9336512117825,635.8541833333334,0.6345333333333333,0.5022,0.39770489491160554,00:00,0.0,732.7732641299999,0.0,0.0
2025-09-07,32,05:30,1425.9062833333332,1425.9062833333332,1425.9062833333332,35.640383140053586,833.3333331400535,0.0,0.0,7589.9336512117825,8380.503066070516,628.2133333333334,0.0,0.474,0.41043234557633873,00:00,-1.1368683772161603e-13,675.8795782999999,0.0,84.467708041927
2025-09-07,33,05:40,1430.4542319444445,1430.4542319444445,1421.8238333333334,0.0,833.3333333333333,0.0,0.0,8380.503066070516,9171.072481112611,588.4905,0.0,0.3739,0.3782323121893891,00:00,1.1368683772161603e-13,534.8468373240278,0.0,0.0
2025-09-07,34,05:50,0.0,0.0,0.0,0.0,0.0,643.93445,0.0,9171.072481112611,8492.305972496673,654.5576166666666,10.623166666666666,0.5792,0.5678772154569047,00:00,0.0,0.0,0.0,0.0
2025-09-07,35,06:00,0.0,0.0,0.0,0.0,0.0,741.9533333333333,0.0,8492.305972496673,7710.218488867519,790.1533333333333,48.199999999999996,0.9552,0.8912681008115688,00:00,0.0,0.0,0.0,0.0
2025-09-07,36,06:10,0.0,0.0,0.0,0.0,0.0,715.3630666666666,0.0,7710.218488867519,6956.159607324338,811.9212833333332,96.55821666666665,0.9635,0.9455143885515622,06:00,0.0,0.0,0.0,0.0
2025-09-07,37,06:20,0.0,0.0,0.0,0.0,0.0,637.9688833333332,0.0,6956.159607324338,6283.6813581084825,787.5176499999999,149.54876666666667,0.888,0.8585310254213881,06:00,0.0,0.0,0.0,0.0
2025-09-07,38,06:30,0.0,0.0,0.0,0.0,0.0,582.8229166666665,0.0,6283.6813581084825,5669.332061705423,786.1166666666666,203.29375,0.9028,0.7945842512511052,06:00,0.0,0.0,0.0,0.0
2025-09-07,39,06:40,0.0,0.0,0.0,0.0,0.0,550.9439,0.0,5669.332061705423,5088.586199380076,806.3638666666667,255.41996666666665,0.8882,0.7873542838087036,06:00,-1.1368683772161603e-13,0.0,0.0,0.0
2025-09-07,40,06:50,0.0,0.0,0.0,0.0,0.0,512.0008833333334,0.0,5088.586199380076,4548.889880929584,820.0427,308.04181666666665,0.8397,0.7763600366019561,06:00,0.0,0.0,0.0,0.0
